Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
369.00	0.001	0.009	0.010	0.009	0.007	0.008	0.009	0.007	0.007	0.007	0.007	0.007	0.006
370.00	0.001	0.009	0.010	0.009	0.007	0.008	0.009	0.008	0.007	0.007	0.007	0.007	0.006
371.00	0.001	0.009	0.010	0.009	0.007	0.008	0.009	0.007	0.007	0.007	0.007	0.007	0.006
372.00	0.001	0.009	0.009	0.009	0.006	0.008	0.008	0.007	0.007	0.007	0.007	0.007	0.006
373.00	0.001	0.009	0.009	0.009	0.006	0.008	0.008	0.007	0.007	0.006	0.007	0.007	0.006
374.00	0.001	0.008	0.009	0.009	0.006	0.008	0.008	0.007	0.007	0.006	0.006	0.006	0.005
375.00	0.001	0.008	0.009	0.009	0.006	0.007	0.008	0.007	0.007	0.006	0.007	0.006	0.005
376.00	0.001	0.008	0.009	0.009	0.006	0.007	0.008	0.007	0.006	0.006	0.006	0.006	0.005
377.00	0.001	0.008	0.009	0.009	0.006	0.007	0.008	0.006	0.006	0.006	0.006	0.006	0.005
378.00	0.001	0.008	0.009	0.009	0.006	0.007	0.008	0.007	0.006	0.006	0.006	0.006	0.005
379.00	0.001	0.008	0.008	0.008	0.006	0.007	0.007	0.006	0.006	0.006	0.006	0.006	0.005
380.00	0.001	0.008	0.008	0.008	0.006	0.007	0.007	0.006	0.006	0.005	0.006	0.006	0.005
381.00	0.001	0.008	0.008	0.008	0.006	0.007	0.007	0.006	0.006	0.005	0.006	0.006	0.005
382.00	0.001	0.008	0.008	0.008	0.005	0.007	0.007	0.006	0.006	0.005	0.006	0.005	0.005
383.00	0.001	0.008	0.008	0.008	0.005	0.007	0.007	0.006	0.006	0.005	0.006	0.005	0.005
384.00	0.001	0.007	0.008	0.008	0.005	0.006	0.007	0.006	0.006	0.005	0.006	0.005	0.004
385.00	0.001	0.007	0.008	0.008	0.005	0.006	0.007	0.006	0.006	0.005	0.005	0.005	0.004
386.00	0.001	0.007	0.008	0.008	0.005	0.006	0.007	0.006	0.006	0.005	0.006	0.005	0.004
387.00	0.001	0.007	0.008	0.008	0.005	0.006	0.007	0.006	0.006	0.005	0.005	0.005	0.004
388.00	0.001	0.007	0.008	0.008	0.005	0.006	0.007	0.006	0.005	0.005	0.005	0.005	0.004
389.00	0.001	0.007	0.007	0.007	0.005	0.006	0.006	0.005	0.005	0.005	0.005	0.005	0.004
390.00	0.001	0.007	0.007	0.007	0.005	0.006	0.006	0.005	0.005	0.004	0.005	0.005	0.004
391.00	0.001	0.007	0.007	0.007	0.005	0.006	0.006	0.005	0.005	0.004	0.005	0.004	0.004
392.00	0.001	0.006	0.007	0.007	0.004	0.006	0.006	0.005	0.005	0.004	0.005	0.004	0.004
393.00	0.001	0.006	0.007	0.007	0.004	0.006	0.006	0.005	0.005	0.004	0.005	0.004	0.004
394.00	0.001	0.006	0.007	0.007	0.004	0.006	0.006	0.005	0.005	0.004	0.005	0.004	0.004
395.00	0.001	0.006	0.007	0.007	0.004	0.006	0.006	0.005	0.005	0.004	0.005	0.004	0.004
396.00	0.001	0.006	0.007	0.006	0.004	0.005	0.005	0.004	0.005	0.004	0.004	0.004	0.003
397.00	0.001	0.006	0.007	0.006	0.004	0.005	0.005	0.004	0.005	0.004	0.004	0.004	0.003
398.00	0.001	0.006	0.006	0.006	0.004	0.005	0.005	0.004	0.004	0.004	0.004	0.004	0.003
399.00	0.001	0.005	0.006	0.006	0.004	0.005	0.005	0.004	0.004	0.004	0.004	0.004	0.003
400.00	0.001	0.005	0.006	0.006	0.004	0.005	0.005	0.004	0.004	0.004	0.004	0.004	0.003
401.00	0.001	0.005	0.006	0.006	0.004	0.005	0.005	0.004	0.004	0.003	0.004	0.004	0.003
402.00	0.001	0.005	0.006	0.006	0.004	0.005	0.005	0.004	0.004	0.003	0.004	0.004	0.003
403.00	0.001	0.005	0.006	0.006	0.004	0.005	0.005	0.004	0.004	0.003	0.004	0.004	0.003
404.00	0.001	0.005	0.006	0.006	0.003	0.005	0.005	0.004	0.004	0.003	0.004	0.003	0.003
405.00	0.001	0.005	0.006	0.005	0.003	0.005	0.004	0.004	0.004	0.003	0.003	0.003	0.003
406.00	0.001	0.005	0.006	0.005	0.003	0.005	0.004	0.004	0.004	0.003	0.003	0.003	0.003
407.00	0.001	0.005	0.006	0.005	0.003	0.005	0.004	0.004	0.004	0.003	0.003	0.003	0.003
408.00	0.001	0.005	0.005	0.005	0.003	0.005	0.004	0.003	0.004	0.003	0.003	0.003	0.002
409.00	0.001	0.005	0.005	0.005	0.003	0.004	0.004	0.003	0.004	0.003	0.003	0.003	0.002
410.00	0.001	0.005	0.005	0.005	0.003	0.004	0.004	0.003	0.004	0.003	0.003	0.003	0.002
411.00	0.001	0.005	0.005	0.005	0.003	0.004	0.004	0.003	0.004	0.003	0.003	0.003	0.002
412.00	0.001	0.004	0.005	0.005	0.003	0.004	0.004	0.003	0.003	0.003	0.003	0.003	0.002
413.00	0.001	0.004	0.005	0.005	0.003	0.004	0.004	0.003	0.003	0.003	0.003	0.003	0.002
414.00	0.001	0.004	0.005	0.005	0.003	0.004	0.004	0.003	0.003	0.003	0.003	0.003	0.002
415.00	0.001	0.004	0.005	0.005	0.003	0.004	0.004	0.003	0.003	0.003	0.003	0.003	0.002
416.00	0.001	0.004	0.005	0.005	0.003	0.004	0.004	0.003	0.004	0.003	0.003	0.003	0.002
417.00	0.001	0.004	0.005	0.005	0.003	0.004	0.004	0.003	0.003	0.002	0.003	0.003	0.002
418.00	0.001	0.004	0.005	0.005	0.003	0.004	0.004	0.003	0.003	0.002	0.003	0.002	0.002
419.00	0.001	0.004	0.005	0.005	0.003	0.004	0.004	0.003	0.003	0.002	0.003	0.002	0.002
420.00	0.001	0.004	0.005	0.005	0.003	0.004	0.004	0.003	0.003	0.002	0.003	0.002	0.002
421.00	0.001	0.004	0.005	0.005	0.002	0.004	0.004	0.003	0.003	0.002	0.003	0.002	0.002
422.00	0.001	0.004	0.005	0.004	0.002	0.004	0.004	0.003	0.003	0.002	0.002	0.002	0.002
423.00	0.001	0.004	0.005	0.004	0.002	0.004	0.003	0.003	0.003	0.002	0.002	0.002	0.002
424.00	0.001	0.004	0.005	0.004	0.002	0.003	0.003	0.003	0.003	0.002	0.002	0.002	0.001
425.00	0.001	0.004	0.004	0.004	0.002	0.003	0.003	0.002	0.003	0.002	0.002	0.002	0.001
426.00	0.001	0.004	0.004	0.004	0.002	0.003	0.003	0.002	0.003	0.002	0.002	0.002	0.001
427.00	0.001	0.004	0.004	0.004	0.002	0.004	0.003	0.002	0.003	0.002	0.002	0.002	0.001
428.00	0.001	0.004	0.004	0.004	0.002	0.003	0.003	0.002	0.003	0.002	0.002	0.002	0.001
429.00	0.000	0.003	0.004	0.004	0.002	0.003	0.003	0.002	0.002	0.002	0.002	0.002	0.001
430.00	0.001	0.003	0.004	0.004	0.002	0.003	0.003	0.002	0.002	0.002	0.002	0.002	0.001
431.00	0.001	0.003	0.004	0.004	0.002	0.003	0.003	0.002	0.002	0.002	0.002	0.002	0.001
