Wavelength nm.,MiliQ,CC3_BOT_freezetest,CC3_01_freezetest,CS1_01_freezetest,chla50mL_dil_s4,Chla100_1000mL_s5,soil_dil_s6,leaf_dilS7,leaf_dilS8
410,0,0.003,0.003,0.007,0.007,0.008,0.025,0.014,0.005
411,0,0.003,0.003,0.007,0.007,0.008,0.025,0.014,0.005
412,0,0.003,0.003,0.007,0.007,0.008,0.025,0.014,0.005
413,0,0.003,0.003,0.007,0.007,0.008,0.024,0.014,0.005
414,0,0.003,0.003,0.006,0.007,0.007,0.024,0.013,0.005
415,0,0.003,0.003,0.007,0.007,0.007,0.024,0.013,0.005
416,0,0.003,0.003,0.007,0.006,0.007,0.023,0.013,0.005
417,0,0.003,0.003,0.006,0.006,0.007,0.023,0.013,0.005
418,0,0.003,0.003,0.006,0.006,0.007,0.023,0.013,0.005
419,0,0.003,0.003,0.006,0.006,0.007,0.022,0.012,0.005
420,0,0.003,0.003,0.006,0.006,0.007,0.022,0.012,0.004
421,0,0.003,0.003,0.006,0.006,0.006,0.022,0.012,0.004
422,0,0.003,0.003,0.006,0.006,0.006,0.022,0.012,0.004
423,0,0.003,0.003,0.006,0.006,0.006,0.021,0.012,0.004
424,0,0.003,0.002,0.006,0.005,0.006,0.021,0.011,0.004
425,0,0.003,0.002,0.006,0.005,0.006,0.021,0.011,0.004
426,0,0.003,0.002,0.006,0.005,0.006,0.02,0.011,0.004
427,0,0.003,0.002,0.006,0.005,0.006,0.02,0.011,0.004
428,0,0.003,0.002,0.006,0.005,0.006,0.02,0.011,0.004
429,0,0.003,0.002,0.006,0.005,0.006,0.02,0.011,0.004
430,0,0.003,0.002,0.006,0.005,0.005,0.019,0.01,0.004
431,0,0.003,0.002,0.006,0.005,0.005,0.019,0.01,0.004
432,0,0.003,0.002,0.006,0.005,0.005,0.019,0.01,0.004
433,0,0.002,0.002,0.006,0.005,0.005,0.019,0.01,0.004
434,0,0.002,0.002,0.006,0.004,0.005,0.018,0.01,0.004
435,0,0.002,0.002,0.005,0.004,0.005,0.018,0.01,0.004
436,0,0.002,0.002,0.005,0.004,0.005,0.018,0.01,0.004
437,0,0.002,0.002,0.006,0.004,0.005,0.018,0.01,0.004
438,0,0.002,0.002,0.005,0.004,0.005,0.017,0.009,0.004
439,0,0.002,0.002,0.005,0.004,0.005,0.017,0.009,0.003
440,0,0.002,0.002,0.005,0.004,0.004,0.017,0.009,0.003
441,0,0.002,0.002,0.005,0.004,0.004,0.017,0.009,0.003
442,0,0.002,0.002,0.005,0.004,0.004,0.017,0.009,0.003
443,0,0.002,0.002,0.005,0.004,0.004,0.016,0.009,0.003
444,0,0.002,0.002,0.005,0.004,0.004,0.016,0.009,0.003
445,0,0.002,0.002,0.005,0.004,0.004,0.016,0.009,0.003
446,0,0.002,0.002,0.005,0.003,0.004,0.016,0.009,0.003
447,0,0.002,0.002,0.005,0.003,0.004,0.016,0.009,0.003
448,0,0.002,0.002,0.005,0.003,0.004,0.015,0.008,0.003
449,0,0.002,0.002,0.005,0.003,0.004,0.015,0.008,0.003
450,0,0.002,0.002,0.005,0.003,0.004,0.015,0.008,0.003
451,0,0.002,0.002,0.005,0.003,0.004,0.015,0.008,0.003
452,0,0.002,0.002,0.005,0.003,0.004,0.015,0.008,0.003
453,0,0.002,0.002,0.005,0.003,0.004,0.015,0.008,0.003
454,0,0.002,0.002,0.005,0.003,0.004,0.014,0.008,0.003
455,0,0.002,0.002,0.005,0.003,0.004,0.014,0.008,0.003
456,0,0.002,0.002,0.005,0.003,0.004,0.014,0.008,0.003
457,0,0.002,0.002,0.005,0.003,0.003,0.014,0.008,0.003
458,0,0.002,0.002,0.005,0.003,0.003,0.014,0.008,0.003
459,0,0.002,0.002,0.005,0.003,0.003,0.014,0.007,0.003
460,0,0.002,0.002,0.005,0.003,0.003,0.014,0.007,0.003
461,0,0.002,0.002,0.005,0.003,0.003,0.013,0.007,0.003
462,0,0.002,0.002,0.005,0.003,0.003,0.013,0.007,0.003
463,0,0.002,0.002,0.005,0.003,0.003,0.013,0.007,0.003
464,0,0.002,0.001,0.005,0.003,0.003,0.013,0.007,0.003
465,0,0.002,0.001,0.005,0.002,0.003,0.013,0.007,0.002
466,0,0.002,0.001,0.005,0.002,0.003,0.013,0.007,0.002
467,0,0.002,0.001,0.005,0.002,0.003,0.012,0.007,0.002
468,0,0.002,0.001,0.005,0.002,0.003,0.012,0.007,0.002
469,0,0.002,0.001,0.005,0.002,0.003,0.012,0.007,0.002
470,0,0.002,0.001,0.005,0.002,0.003,0.012,0.007,0.002
471,0,0.002,0.001,0.005,0.002,0.003,0.012,0.006,0.002
