,Blank,F17Jun19_WET_R2,A(CDOM),a(CDOM),ln(a),Sr,F17Jun19_WET_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F17Jun19_INF_R2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_INF_R2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_INF_R2_DIL,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Jul19_WET_R1,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_WET_R1_DIL,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
264,-0.002,0.072,0.074,17.0422,2.835692621,,0.024,0.026,11.9756,2.482871246,,0.022,0.024,5.5272,1.709681358,,0.027,0.029,6.6787,1.898923358,,0.007,0.009,4.1454,1.421999286,,0.053,0.055,12.6665,2.538960713,,0.024,0.026,11.9756,2.482871246,
265,-0.002,0.071,0.073,16.8119,2.822086969,,0.023,0.025,11.515,2.443650533,,0.022,0.024,5.5272,1.709681358,,0.027,0.029,6.6787,1.898923358,,0.008,0.01,4.606,1.527359801,,0.052,0.054,12.4362,2.520611574,,0.024,0.026,11.9756,2.482871246,
266,-0.002,0.07,0.072,16.5816,2.808293647,,0.023,0.025,11.515,2.443650533,,0.022,0.024,5.5272,1.709681358,,0.027,0.029,6.6787,1.898923358,,0.007,0.009,4.1454,1.421999286,,0.051,0.053,12.2059,2.501919441,,0.024,0.026,11.9756,2.482871246,
267,-0.002,0.07,0.072,16.5816,2.808293647,,0.023,0.025,11.515,2.443650533,,0.022,0.024,5.5272,1.709681358,,0.026,0.028,6.4484,1.863832038,,0.007,0.009,4.1454,1.421999286,,0.051,0.053,12.2059,2.501919441,,0.023,0.025,11.515,2.443650533,
268,-0.002,0.069,0.071,16.3513,2.794307405,,0.022,0.024,11.0544,2.402828539,,0.021,0.023,5.2969,1.667121744,,0.026,0.028,6.4484,1.863832038,,0.007,0.009,4.1454,1.421999286,,0.05,0.052,11.9756,2.482871246,,0.023,0.025,11.515,2.443650533,
269,-0.002,0.068,0.07,16.121,2.78012277,,0.022,0.024,11.0544,2.402828539,,0.021,0.023,5.2969,1.667121744,,0.026,0.028,6.4484,1.863832038,,0.007,0.009,4.1454,1.421999286,,0.05,0.052,11.9756,2.482871246,,0.023,0.025,11.515,2.443650533,
270,-0.002,0.068,0.07,16.121,2.78012277,,0.022,0.024,11.0544,2.402828539,,0.021,0.023,5.2969,1.667121744,,0.026,0.028,6.4484,1.863832038,,0.007,0.009,4.1454,1.421999286,,0.049,0.051,11.7453,2.463453161,,0.022,0.024,11.0544,2.402828539,
271,-0.002,0.067,0.069,15.8907,2.765734032,,0.021,0.023,10.5938,2.360268924,,0.02,0.022,5.0666,1.622669981,,0.025,0.027,6.2181,1.827464394,,0.007,0.009,4.1454,1.421999286,,0.049,0.051,11.7453,2.463453161,,0.022,0.024,11.0544,2.402828539,
272,-0.002,0.067,0.069,15.8907,2.765734032,,0.021,0.023,10.5938,2.360268924,,0.02,0.022,5.0666,1.622669981,,0.025,0.027,6.2181,1.827464394,,0.007,0.009,4.1454,1.421999286,,0.048,0.05,11.515,2.443650533,,0.022,0.024,11.0544,2.402828539,
273,-0.002,0.066,0.068,15.6604,2.751135233,,0.021,0.023,10.5938,2.360268924,,0.02,0.022,5.0666,1.622669981,,0.025,0.027,6.2181,1.827464394,,0.007,0.009,4.1454,1.421999286,,0.047,0.049,11.2847,2.423447826,,0.021,0.023,10.5938,2.360268924,
