,Blank,F19Aug19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F19Aug19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F19Aug19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_45_R2,A(CDOM),a(CDOM),ln(a),Sr
252,0,0.109,0.109,25.1027,3.22297541,,0.034,0.034,7.8302,2.057988052,,0.041,0.041,9.4423,2.245199595,,0.08,0.08,18.424,2.913654163,,0.06,0.06,13.818,2.62597209,,0.073,0.073,16.8119,2.822086969,,0.068,0.068,15.6604,2.751135233,,0.059,0.059,13.5877,2.609164972,
253,0,0.108,0.108,24.8724,3.213758755,,0.034,0.034,7.8302,2.057988052,,0.041,0.041,9.4423,2.245199595,,0.079,0.079,18.1937,2.90107538,,0.06,0.06,13.818,2.62597209,,0.073,0.073,16.8119,2.822086969,,0.068,0.068,15.6604,2.751135233,,0.059,0.059,13.5877,2.609164972,
254,0,0.107,0.107,24.6421,3.204456362,,0.033,0.033,7.5999,2.028135089,,0.041,0.041,9.4423,2.245199595,,0.079,0.079,18.1937,2.90107538,,0.059,0.059,13.5877,2.609164972,,0.073,0.073,16.8119,2.822086969,,0.067,0.067,15.4301,2.736320147,,0.059,0.059,13.5877,2.609164972,
255,0,0.107,0.107,24.6421,3.204456362,,0.033,0.033,7.5999,2.028135089,,0.041,0.041,9.4423,2.245199595,,0.079,0.079,18.1937,2.90107538,,0.059,0.059,13.5877,2.609164972,,0.072,0.072,16.5816,2.808293647,,0.067,0.067,15.4301,2.736320147,,0.059,0.059,13.5877,2.609164972,
256,0,0.106,0.106,24.4118,3.195066622,,0.033,0.033,7.5999,2.028135089,,0.04,0.04,9.212,2.220506982,,0.078,0.078,17.9634,2.888336355,,0.059,0.059,13.5877,2.609164972,,0.072,0.072,16.5816,2.808293647,,0.067,0.067,15.4301,2.736320147,,0.058,0.058,13.3574,2.592070538,
257,-0.001,0.106,0.107,24.6421,3.204456362,,0.033,0.034,7.8302,2.057988052,,0.04,0.041,9.4423,2.245199595,,0.078,0.079,18.1937,2.90107538,,0.059,0.06,13.818,2.62597209,,0.072,0.073,16.8119,2.822086969,,0.067,0.068,15.6604,2.751135233,,0.058,0.059,13.5877,2.609164972,
258,-0.001,0.105,0.106,24.4118,3.195066622,,0.032,0.033,7.5999,2.028135089,,0.04,0.041,9.4423,2.245199595,,0.078,0.079,18.1937,2.90107538,,0.058,0.059,13.5877,2.609164972,,0.071,0.072,16.5816,2.808293647,,0.066,0.067,15.4301,2.736320147,,0.058,0.059,13.5877,2.609164972,
259,-0.001,0.104,0.105,24.1815,3.185587878,,0.032,0.033,7.5999,2.028135089,,0.04,0.041,9.4423,2.245199595,,0.077,0.078,17.9634,2.888336355,,0.058,0.059,13.5877,2.609164972,,0.071,0.072,16.5816,2.808293647,,0.066,0.067,15.4301,2.736320147,,0.058,0.059,13.5877,2.609164972,
260,-0.001,0.104,0.105,24.1815,3.185587878,,0.032,0.033,7.5999,2.028135089,,0.039,0.04,9.212,2.220506982,,0.077,0.078,17.9634,2.888336355,,0.058,0.059,13.5877,2.609164972,,0.071,0.072,16.5816,2.808293647,,0.066,0.067,15.4301,2.736320147,,0.058,0.059,13.5877,2.609164972,
261,-0.001,0.103,0.104,23.9512,3.176018427,,0.032,0.033,7.5999,2.028135089,,0.039,0.04,9.212,2.220506982,,0.077,0.078,17.9634,2.888336355,,0.057,0.058,13.3574,2.592070538,,0.07,0.071,16.3513,2.794307405,,0.066,0.067,15.4301,2.736320147,,0.057,0.058,13.3574,2.592070538,
