,MilliQ,F27Jun19_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_99_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_101_R2,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_100_R1,A(CDOM),a(CDOM),ln(a),Sr
246,-0.002,0.049,0.051,11.7453,2.463453161,,0.053,0.055,12.6665,2.538960713,,0.047,0.049,11.2847,2.423447826,,0.036,0.038,8.7514,2.169213688,,0.035,0.037,8.5211,2.14254544,,0.046,0.048,11.0544,2.402828539,,0.048,0.05,11.515,2.443650533,,0.058,0.06,13.818,2.62597209,
247,-0.003,0.048,0.051,11.7453,2.463453161,,0.052,0.055,12.6665,2.538960713,,0.047,0.05,11.515,2.443650533,,0.035,0.038,8.7514,2.169213688,,0.034,0.037,8.5211,2.14254544,,0.045,0.048,11.0544,2.402828539,,0.048,0.051,11.7453,2.463453161,,0.058,0.061,14.0483,2.642501392,
248,-0.002,0.048,0.05,11.515,2.443650533,,0.052,0.054,12.4362,2.520611574,,0.047,0.049,11.2847,2.423447826,,0.035,0.037,8.5211,2.14254544,,0.034,0.036,8.2908,2.115146466,,0.045,0.047,10.8241,2.38177513,,0.047,0.049,11.2847,2.423447826,,0.057,0.059,13.5877,2.609164972,
249,-0.002,0.047,0.049,11.2847,2.423447826,,0.052,0.054,12.4362,2.520611574,,0.046,0.048,11.0544,2.402828539,,0.035,0.037,8.5211,2.14254544,,0.034,0.036,8.2908,2.115146466,,0.045,0.047,10.8241,2.38177513,,0.047,0.049,11.2847,2.423447826,,0.057,0.059,13.5877,2.609164972,
250,-0.002,0.047,0.049,11.2847,2.423447826,,0.051,0.053,12.2059,2.501919441,,0.046,0.048,11.0544,2.402828539,,0.034,0.036,8.2908,2.115146466,,0.033,0.035,8.0605,2.086975589,,0.045,0.047,10.8241,2.38177513,,0.046,0.048,11.0544,2.402828539,,0.056,0.058,13.3574,2.592070538,
251,-0.002,0.047,0.049,11.2847,2.423447826,,0.051,0.053,12.2059,2.501919441,,0.046,0.048,11.0544,2.402828539,,0.034,0.036,8.2908,2.115146466,,0.033,0.035,8.0605,2.086975589,,0.044,0.046,10.5938,2.360268924,,0.046,0.048,11.0544,2.402828539,,0.056,0.058,13.3574,2.592070538,
252,-0.002,0.046,0.048,11.0544,2.402828539,,0.051,0.053,12.2059,2.501919441,,0.045,0.047,10.8241,2.38177513,,0.034,0.036,8.2908,2.115146466,,0.032,0.034,7.8302,2.057988052,,0.044,0.046,10.5938,2.360268924,,0.046,0.048,11.0544,2.402828539,,0.055,0.057,13.1271,2.574678796,
253,-0.002,0.046,0.048,11.0544,2.402828539,,0.05,0.052,11.9756,2.482871246,,0.045,0.047,10.8241,2.38177513,,0.033,0.035,8.0605,2.086975589,,0.032,0.034,7.8302,2.057988052,,0.043,0.045,10.3635,2.338290018,,0.045,0.047,10.8241,2.38177513,,0.055,0.057,13.1271,2.574678796,
254,-0.002,0.046,0.048,11.0544,2.402828539,,0.05,0.052,11.9756,2.482871246,,0.045,0.047,10.8241,2.38177513,,0.033,0.035,8.0605,2.086975589,,0.032,0.034,7.8302,2.057988052,,0.043,0.045,10.3635,2.338290018,,0.045,0.047,10.8241,2.38177513,,0.055,0.057,13.1271,2.574678796,
255,-0.002,0.045,0.047,10.8241,2.38177513,,0.049,0.051,11.7453,2.463453161,,0.044,0.046,10.5938,2.360268924,,0.033,0.035,8.0605,2.086975589,,0.032,0.034,7.8302,2.057988052,,0.043,0.045,10.3635,2.338290018,,0.045,0.047,10.8241,2.38177513,,0.054,0.056,12.8968,2.556979219,
