,Blank,F22Jul19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F22Jul19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_9R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
266,0,0.083,0.083,19.1149,2.950468136,,0.043,0.043,19.8058,2.985974824,,0.045,0.045,10.3635,2.338290018,,0.102,0.102,23.4906,3.156600341,,0.048,0.048,22.1088,3.095975719,
267,0,0.082,0.082,18.8846,2.938346775,,0.043,0.043,19.8058,2.985974824,,0.045,0.045,10.3635,2.338290018,,0.102,0.102,23.4906,3.156600341,,0.048,0.048,22.1088,3.095975719,
268,0,0.082,0.082,18.8846,2.938346775,,0.042,0.042,19.3452,2.962444327,,0.044,0.044,10.1332,2.315817162,,0.101,0.101,23.2603,3.146748045,,0.048,0.048,22.1088,3.095975719,
269,0,0.081,0.081,18.6543,2.926076683,,0.042,0.042,19.3452,2.962444327,,0.044,0.044,10.1332,2.315817162,,0.101,0.101,23.2603,3.146748045,,0.048,0.048,22.1088,3.095975719,
270,0,0.08,0.08,18.424,2.913654163,,0.042,0.042,19.3452,2.962444327,,0.044,0.044,10.1332,2.315817162,,0.1,0.1,23.03,3.136797714,,0.047,0.047,21.6482,3.07492231,
271,0,0.08,0.08,18.424,2.913654163,,0.041,0.041,18.8846,2.938346775,,0.043,0.043,9.9029,2.292827644,,0.099,0.099,22.7997,3.126747378,,0.047,0.047,21.6482,3.07492231,
272,0,0.079,0.079,18.1937,2.90107538,,0.041,0.041,18.8846,2.938346775,,0.043,0.043,9.9029,2.292827644,,0.099,0.099,22.7997,3.126747378,,0.047,0.047,21.6482,3.07492231,
273,0,0.079,0.079,18.1937,2.90107538,,0.041,0.041,18.8846,2.938346775,,0.043,0.043,9.9029,2.292827644,,0.099,0.099,22.7997,3.126747378,,0.047,0.047,21.6482,3.07492231,
274,0,0.078,0.078,17.9634,2.888336355,,0.04,0.04,18.424,2.913654163,,0.042,0.042,9.6726,2.269297146,,0.099,0.099,22.7997,3.126747378,,0.046,0.046,21.1876,3.053416105,
275,0,0.077,0.077,17.7331,2.87543295,,0.04,0.04,18.424,2.913654163,,0.042,0.042,9.6726,2.269297146,,0.098,0.098,22.5694,3.116595007,,0.046,0.046,21.1876,3.053416105,
276,0,0.076,0.076,17.5028,2.862360868,,0.039,0.039,17.9634,2.888336355,,0.041,0.041,9.4423,2.245199595,,0.097,0.097,22.3391,3.106338506,,0.046,0.046,21.1876,3.053416105,
277,0,0.076,0.076,17.5028,2.862360868,,0.039,0.039,17.9634,2.888336355,,0.041,0.041,9.4423,2.245199595,,0.097,0.097,22.3391,3.106338506,,0.045,0.045,20.727,3.031437198,
