,MilliQ,F5Aug19_WET_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_Inf_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_Wet_R1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_Wet_R2,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_101_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_30_R1,A(CDOM),a(CDOM),ln(a),Sr
249,-0.003,0.091,0.094,21.6482,3.07492231,,0.047,0.05,11.515,2.443650533,,0.087,0.09,20.727,3.031437198,,0.067,0.07,16.121,2.78012277,,0.036,0.039,8.9817,2.195189174,,0.04,0.043,9.9029,2.292827644,,0.032,0.035,8.0605,2.086975589,,0.042,0.045,10.3635,2.338290018,
250,-0.003,0.091,0.094,21.6482,3.07492231,,0.047,0.05,11.515,2.443650533,,0.086,0.089,20.4967,3.020263898,,0.066,0.069,15.8907,2.765734032,,0.036,0.039,8.9817,2.195189174,,0.04,0.043,9.9029,2.292827644,,0.032,0.035,8.0605,2.086975589,,0.042,0.045,10.3635,2.338290018,
251,-0.003,0.09,0.093,21.4179,3.064227021,,0.047,0.05,11.515,2.443650533,,0.086,0.089,20.4967,3.020263898,,0.066,0.069,15.8907,2.765734032,,0.036,0.039,8.9817,2.195189174,,0.039,0.042,9.6726,2.269297146,,0.032,0.035,8.0605,2.086975589,,0.041,0.044,10.1332,2.315817162,
252,-0.003,0.089,0.092,21.1876,3.053416105,,0.046,0.049,11.2847,2.423447826,,0.085,0.088,20.2664,3.008964342,,0.066,0.069,15.8907,2.765734032,,0.035,0.038,8.7514,2.169213688,,0.039,0.042,9.6726,2.269297146,,0.031,0.034,7.8302,2.057988052,,0.041,0.044,10.1332,2.315817162,
253,-0.003,0.089,0.092,21.1876,3.053416105,,0.046,0.049,11.2847,2.423447826,,0.084,0.087,20.0361,2.997535646,,0.065,0.068,15.6604,2.751135233,,0.035,0.038,8.7514,2.169213688,,0.039,0.042,9.6726,2.269297146,,0.031,0.034,7.8302,2.057988052,,0.04,0.043,9.9029,2.292827644,
254,-0.003,0.088,0.091,20.9573,3.042487034,,0.046,0.049,11.2847,2.423447826,,0.084,0.087,20.0361,2.997535646,,0.065,0.068,15.6604,2.751135233,,0.035,0.038,8.7514,2.169213688,,0.038,0.041,9.4423,2.245199595,,0.031,0.034,7.8302,2.057988052,,0.04,0.043,9.9029,2.292827644,
255,-0.003,0.088,0.091,20.9573,3.042487034,,0.046,0.049,11.2847,2.423447826,,0.083,0.086,19.8058,2.985974824,,0.065,0.068,15.6604,2.751135233,,0.035,0.038,8.7514,2.169213688,,0.038,0.041,9.4423,2.245199595,,0.031,0.034,7.8302,2.057988052,,0.04,0.043,9.9029,2.292827644,
256,-0.003,0.087,0.09,20.727,3.031437198,,0.045,0.048,11.0544,2.402828539,,0.083,0.086,19.8058,2.985974824,,0.064,0.067,15.4301,2.736320147,,0.034,0.037,8.5211,2.14254544,,0.038,0.041,9.4423,2.245199595,,0.03,0.033,7.5999,2.028135089,,0.04,0.043,9.9029,2.292827644,
257,-0.003,0.086,0.089,20.4967,3.020263898,,0.045,0.048,11.0544,2.402828539,,0.082,0.085,19.5755,2.974278784,,0.064,0.067,15.4301,2.736320147,,0.034,0.037,8.5211,2.14254544,,0.038,0.041,9.4423,2.245199595,,0.03,0.033,7.5999,2.028135089,,0.039,0.042,9.6726,2.269297146,
258,-0.003,0.086,0.089,20.4967,3.020263898,,0.045,0.048,11.0544,2.402828539,,0.082,0.085,19.5755,2.974278784,,0.064,0.067,15.4301,2.736320147,,0.034,0.037,8.5211,2.14254544,,0.037,0.04,9.212,2.220506982,,0.03,0.033,7.5999,2.028135089,,0.039,0.042,9.6726,2.269297146,
