,Blank,F20Sep19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_Surf_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_9_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_5_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_5R1_Dil2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_5_R1_Dil4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,F22Jul19_WET_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_WET_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
234,0.001,0.112,0.111,25.5633,3.241157729,,0.053,0.052,23.9512,3.176018427,,0.033,0.032,7.3696,1.997363431,,0.015,0.014,6.4484,1.863832038,,0.204,0.203,46.7509,3.844833507,,0.104,0.103,47.4418,3.859503697,,0.043,0.042,187.0036,5.231127868,,0.127,0.126,29.0178,3.367909435,,0.063,0.062,28.5572,3.351909093,
235,0.001,0.11,0.109,25.1027,3.22297541,,0.052,0.051,23.4906,3.156600341,,0.032,0.031,7.1393,1.965614732,,0.015,0.014,6.4484,1.863832038,,0.203,0.202,46.5206,3.839895225,,0.103,0.102,46.9812,3.849747522,,0.042,0.041,186.0824,5.226189586,,0.126,0.125,28.7875,3.359941265,,0.063,0.062,28.5572,3.351909093,
236,0.001,0.108,0.107,24.6421,3.204456362,,0.051,0.05,23.03,3.136797714,,0.032,0.031,7.1393,1.965614732,,0.015,0.014,6.4484,1.863832038,,0.202,0.201,46.2903,3.834932436,,0.103,0.102,46.9812,3.849747522,,0.042,0.041,185.1612,5.221226797,,0.124,0.123,28.3269,3.343811883,,0.062,0.061,28.0966,3.335648573,
237,0.001,0.106,0.105,24.1815,3.185587878,,0.051,0.05,23.03,3.136797714,,0.031,0.03,6.909,1.93282491,,0.015,0.014,6.4484,1.863832038,,0.201,0.2,46.06,3.829944894,,0.103,0.102,46.9812,3.849747522,,0.042,0.041,184.24,5.216239256,,0.123,0.122,28.0966,3.335648573,,0.061,0.06,27.636,3.319119271,
238,0.001,0.104,0.103,23.7209,3.166356516,,0.05,0.049,22.5694,3.116595007,,0.031,0.03,6.909,1.93282491,,0.015,0.014,6.4484,1.863832038,,0.2,0.199,45.8297,3.824932353,,0.102,0.101,46.5206,3.839895225,,0.042,0.041,183.3188,5.211226714,,0.121,0.12,27.636,3.319119271,,0.06,0.059,27.1754,3.302312152,
239,0,0.103,0.103,23.7209,3.166356516,,0.049,0.049,22.5694,3.116595007,,0.031,0.031,7.1393,1.965614732,,0.015,0.015,6.909,1.93282491,,0.2,0.2,46.06,3.829944894,,0.102,0.102,46.9812,3.849747522,,0.042,0.042,184.24,5.216239256,,0.12,0.12,27.636,3.319119271,,0.06,0.06,27.636,3.319119271,
240,0.001,0.101,0.1,23.03,3.136797714,,0.049,0.048,22.1088,3.095975719,,0.03,0.029,6.6787,1.898923358,,0.015,0.014,6.4484,1.863832038,,0.199,0.198,45.5994,3.819894559,,0.101,0.1,46.06,3.829944894,,0.041,0.04,182.3976,5.20618892,,0.119,0.118,27.1754,3.302312152,,0.059,0.058,26.7148,3.285217719,
241,0,0.1,0.1,23.03,3.136797714,,0.048,0.048,22.1088,3.095975719,,0.03,0.03,6.909,1.93282491,,0.014,0.014,6.4484,1.863832038,,0.198,0.198,45.5994,3.819894559,,0.101,0.101,46.5206,3.839895225,,0.041,0.041,182.3976,5.20618892,,0.118,0.118,27.1754,3.302312152,,0.058,0.058,26.7148,3.285217719,
242,0,0.099,0.099,22.7997,3.126747378,,0.048,0.048,22.1088,3.095975719,,0.03,0.03,6.909,1.93282491,,0.014,0.014,6.4484,1.863832038,,0.197,0.197,45.3691,3.814831257,,0.101,0.101,46.5206,3.839895225,,0.041,0.041,181.4764,5.201125618,,0.117,0.117,26.9451,3.293801463,,0.058,0.058,26.7148,3.285217719,
243,0,0.098,0.098,22.5694,3.116595007,,0.047,0.047,21.6482,3.07492231,,0.029,0.029,6.6787,1.898923358,,0.014,0.014,6.4484,1.863832038,,0.197,0.197,45.3691,3.814831257,,0.1,0.1,46.06,3.829944894,,0.041,0.041,181.4764,5.201125618,,0.116,0.116,26.7148,3.285217719,,0.057,0.057,26.2542,3.267825976,
244,0,0.097,0.097,22.3391,3.106338506,,0.047,0.047,21.6482,3.07492231,,0.029,0.029,6.6787,1.898923358,,0.014,0.014,6.4484,1.863832038,,0.196,0.196,45.1388,3.809742187,,0.1,0.1,46.06,3.829944894,,0.041,0.041,180.5552,5.196036548,,0.115,0.115,26.4845,3.276559656,,0.057,0.057,26.2542,3.267825976,
245,0,0.096,0.096,22.1088,3.095975719,,0.046,0.046,21.1876,3.053416105,,0.029,0.029,6.6787,1.898923358,,0.014,0.014,6.4484,1.863832038,,0.195,0.195,44.9085,3.804627086,,0.1,0.1,46.06,3.829944894,,0.04,0.04,179.634,5.190921448,,0.114,0.114,26.2542,3.267825976,,0.056,0.056,25.7936,3.250126399,
246,0,0.095,0.095,21.8785,3.085504419,,0.046,0.046,21.1876,3.053416105,,0.029,0.029,6.6787,1.898923358,,0.014,0.014,6.4484,1.863832038,,0.195,0.195,44.9085,3.804627086,,0.1,0.1,46.06,3.829944894,,0.04,0.04,179.634,5.190921448,,0.113,0.113,26.0239,3.259015347,,0.056,0.056,25.7936,3.250126399,
247,0,0.094,0.094,21.6482,3.07492231,,0.046,0.046,21.1876,3.053416105,,0.028,0.028,6.4484,1.863832038,,0.014,0.014,6.4484,1.863832038,,0.194,0.194,44.6782,3.799485687,,0.1,0.1,46.06,3.829944894,,0.04,0.04,178.7128,5.185780048,,0.112,0.112,25.7936,3.250126399,,0.055,0.055,25.333,3.232107894,
248,0,0.093,0.093,21.4179,3.064227021,,0.045,0.045,20.727,3.031437198,,0.028,0.028,6.4484,1.863832038,,0.013,0.013,5.9878,1.789724066,,0.193,0.193,44.4479,3.794317717,,0.099,0.099,45.5994,3.819894559,,0.04,0.04,177.7916,5.180612078,,0.111,0.111,25.5633,3.241157729,,0.055,0.055,25.333,3.232107894,
249,0,0.093,0.093,21.4179,3.064227021,,0.045,0.045,20.727,3.031437198,,0.028,0.028,6.4484,1.863832038,,0.013,0.013,5.9878,1.789724066,,0.192,0.192,44.2176,3.7891229,,0.099,0.099,45.5994,3.819894559,,0.04,0.04,176.8704,5.175417261,,0.11,0.11,25.333,3.232107894,,0.055,0.055,25.333,3.232107894,
250,0,0.092,0.092,21.1876,3.053416105,,0.045,0.045,20.727,3.031437198,,0.028,0.028,6.4484,1.863832038,,0.013,0.013,5.9878,1.789724066,,0.192,0.192,44.2176,3.7891229,,0.099,0.099,45.5994,3.819894559,,0.04,0.04,176.8704,5.175417261,,0.11,0.11,25.333,3.232107894,,0.054,0.054,24.8724,3.213758755,
251,0.001,0.091,0.09,20.727,3.031437198,,0.045,0.044,20.2664,3.008964342,,0.028,0.027,6.2181,1.827464394,,0.013,0.012,5.5272,1.709681358,,0.192,0.191,43.9873,3.783900956,,0.099,0.098,45.1388,3.809742187,,0.04,0.039,175.9492,5.170195317,,0.109,0.108,24.8724,3.213758755,,0.054,0.053,24.4118,3.195066622,
252,0,0.091,0.091,20.9573,3.042487034,,0.044,0.044,20.2664,3.008964342,,0.028,0.028,6.4484,1.863832038,,0.013,0.013,5.9878,1.789724066,,0.191,0.191,43.9873,3.783900956,,0.099,0.099,45.5994,3.819894559,,0.04,0.04,175.9492,5.170195317,,0.108,0.108,24.8724,3.213758755,,0.054,0.054,24.8724,3.213758755,
