,MilliQ,F04Oct19_101_R2,A(CDOM),a(CDOM),ln(a),Sr,B18Jul19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_99_R1,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_102_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_45_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_01_R2,A(CDOM),a(CDOM),ln(a),Sr
231,0.002,0.096,0.094,21.6482,3.07492231,,0.09,0.088,20.2664,3.008964342,,0.071,0.069,15.8907,2.765734032,,0.095,0.093,21.4179,3.064227021,,0.172,0.17,39.151,3.667425965,,0.135,0.133,30.6299,3.421976656,,0.062,0.06,13.818,2.62597209,,0.136,0.134,30.8602,3.429467328,,0.044,0.042,9.6726,2.269297146,,0.096,0.094,21.6482,3.07492231,,0.097,0.095,21.8785,3.085504419,
232,0.002,0.094,0.092,21.1876,3.053416105,,0.089,0.087,20.0361,2.997535646,,0.069,0.067,15.4301,2.736320147,,0.094,0.092,21.1876,3.053416105,,0.17,0.168,38.6904,3.655591507,,0.132,0.13,29.939,3.399161978,,0.06,0.058,13.3574,2.592070538,,0.133,0.131,30.1693,3.406824851,,0.042,0.04,9.212,2.220506982,,0.095,0.093,21.4179,3.064227021,,0.095,0.093,21.4179,3.064227021,
233,0.002,0.092,0.09,20.727,3.031437198,,0.088,0.086,19.8058,2.985974824,,0.068,0.066,15.1998,2.72128227,,0.092,0.09,20.727,3.031437198,,0.169,0.167,38.4601,3.64962134,,0.13,0.128,29.4784,3.383657792,,0.059,0.057,13.1271,2.574678796,,0.13,0.128,29.4784,3.383657792,,0.04,0.038,8.7514,2.169213688,,0.093,0.091,20.9573,3.042487034,,0.094,0.092,21.1876,3.053416105,
234,0.002,0.09,0.088,20.2664,3.008964342,,0.087,0.085,19.5755,2.974278784,,0.067,0.065,14.9695,2.706014798,,0.091,0.089,20.4967,3.020263898,,0.168,0.166,38.2298,3.643615316,,0.127,0.125,28.7875,3.359941265,,0.058,0.056,12.8968,2.556979219,,0.127,0.125,28.7875,3.359941265,,0.039,0.037,8.5211,2.14254544,,0.091,0.089,20.4967,3.020263898,,0.093,0.091,20.9573,3.042487034,
235,0.002,0.088,0.086,19.8058,2.985974824,,0.085,0.083,19.1149,2.950468136,,0.065,0.063,14.5089,2.674762254,,0.089,0.087,20.0361,2.997535646,,0.166,0.164,37.7692,3.631493956,,0.125,0.123,28.3269,3.343811883,,0.056,0.054,12.4362,2.520611574,,0.125,0.123,28.3269,3.343811883,,0.037,0.035,8.0605,2.086975589,,0.09,0.088,20.2664,3.008964342,,0.091,0.089,20.4967,3.020263898,
236,0.002,0.086,0.084,19.3452,2.962444327,,0.084,0.082,18.8846,2.938346775,,0.064,0.062,14.2786,2.658761913,,0.088,0.086,19.8058,2.985974824,,0.165,0.163,37.5389,3.625377729,,0.123,0.121,27.8663,3.327418073,,0.055,0.053,12.2059,2.501919441,,0.122,0.12,27.636,3.319119271,,0.036,0.034,7.8302,2.057988052,,0.088,0.086,19.8058,2.985974824,,0.09,0.088,20.2664,3.008964342,
237,0.002,0.085,0.083,19.1149,2.950468136,,0.083,0.081,18.6543,2.926076683,,0.063,0.061,14.0483,2.642501392,,0.087,0.085,19.5755,2.974278784,,0.164,0.162,37.3086,3.619223863,,0.121,0.119,27.4057,3.310751021,,0.054,0.052,11.9756,2.482871246,,0.12,0.118,27.1754,3.302312152,,0.035,0.033,7.5999,2.028135089,,0.087,0.085,19.5755,2.974278784,,0.088,0.086,19.8058,2.985974824,
238,0.002,0.084,0.082,18.8846,2.938346775,,0.082,0.08,18.424,2.913654163,,0.062,0.06,13.818,2.62597209,,0.085,0.083,19.1149,2.950468136,,0.163,0.161,37.0783,3.613031893,,0.119,0.117,26.9451,3.293801463,,0.053,0.051,11.7453,2.463453161,,0.118,0.116,26.7148,3.285217719,,0.034,0.032,7.3696,1.997363431,,0.086,0.084,19.3452,2.962444327,,0.087,0.085,19.5755,2.974278784,
239,0.002,0.083,0.081,18.6543,2.926076683,,0.081,0.079,18.1937,2.90107538,,0.061,0.059,13.5877,2.609164972,,0.084,0.082,18.8846,2.938346775,,0.163,0.161,37.0783,3.613031893,,0.118,0.116,26.7148,3.285217719,,0.052,0.05,11.515,2.443650533,,0.116,0.114,26.2542,3.267825976,,0.034,0.032,7.3696,1.997363431,,0.085,0.083,19.1149,2.950468136,,0.086,0.084,19.3452,2.962444327,
240,0.002,0.082,0.08,18.424,2.913654163,,0.081,0.079,18.1937,2.90107538,,0.06,0.058,13.3574,2.592070538,,0.083,0.081,18.6543,2.926076683,,0.162,0.16,36.848,3.606801343,,0.117,0.115,26.4845,3.276559656,,0.052,0.05,11.515,2.443650533,,0.115,0.113,26.0239,3.259015347,,0.033,0.031,7.1393,1.965614732,,0.084,0.082,18.8846,2.938346775,,0.085,0.083,19.1149,2.950468136,
241,0.002,0.081,0.079,18.1937,2.90107538,,0.08,0.078,17.9634,2.888336355,,0.059,0.057,13.1271,2.574678796,,0.082,0.08,18.424,2.913654163,,0.161,0.159,36.6177,3.60053173,,0.115,0.113,26.0239,3.259015347,,0.051,0.049,11.2847,2.423447826,,0.113,0.111,25.5633,3.241157729,,0.032,0.03,6.909,1.93282491,,0.083,0.081,18.6543,2.926076683,,0.084,0.082,18.8846,2.938346775,
