,MilliQ,F22Aug19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F27May19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr
247,-0.001,0.12,0.121,27.8663,3.327418073,,0.101,0.102,23.4906,3.156600341,,0.104,0.105,24.1815,3.185587878,,0.104,0.105,24.1815,3.185587878,,0.047,0.048,11.0544,2.402828539,,0.147,0.148,34.0844,3.528839802,,0.041,0.042,9.6726,2.269297146,,0.056,0.057,13.1271,2.574678796,
248,-0.001,0.119,0.12,27.636,3.319119271,,0.1,0.101,23.2603,3.146748045,,0.103,0.104,23.9512,3.176018427,,0.103,0.104,23.9512,3.176018427,,0.047,0.048,11.0544,2.402828539,,0.147,0.148,34.0844,3.528839802,,0.041,0.042,9.6726,2.269297146,,0.055,0.056,12.8968,2.556979219,
249,-0.001,0.119,0.12,27.636,3.319119271,,0.1,0.101,23.2603,3.146748045,,0.103,0.104,23.9512,3.176018427,,0.103,0.104,23.9512,3.176018427,,0.047,0.048,11.0544,2.402828539,,0.146,0.147,33.8541,3.522060115,,0.041,0.042,9.6726,2.269297146,,0.055,0.056,12.8968,2.556979219,
250,-0.001,0.118,0.119,27.4057,3.310751021,,0.099,0.1,23.03,3.136797714,,0.102,0.103,23.7209,3.166356516,,0.102,0.103,23.7209,3.166356516,,0.046,0.047,10.8241,2.38177513,,0.146,0.147,33.8541,3.522060115,,0.04,0.041,9.4423,2.245199595,,0.055,0.056,12.8968,2.556979219,
251,-0.001,0.117,0.118,27.1754,3.302312152,,0.098,0.099,22.7997,3.126747378,,0.101,0.102,23.4906,3.156600341,,0.101,0.102,23.4906,3.156600341,,0.046,0.047,10.8241,2.38177513,,0.146,0.147,33.8541,3.522060115,,0.04,0.041,9.4423,2.245199595,,0.054,0.055,12.6665,2.538960713,
252,-0.001,0.116,0.117,26.9451,3.293801463,,0.098,0.099,22.7997,3.126747378,,0.101,0.102,23.4906,3.156600341,,0.101,0.102,23.4906,3.156600341,,0.045,0.046,10.5938,2.360268924,,0.146,0.147,33.8541,3.522060115,,0.04,0.041,9.4423,2.245199595,,0.054,0.055,12.6665,2.538960713,
253,-0.001,0.115,0.116,26.7148,3.285217719,,0.097,0.098,22.5694,3.116595007,,0.1,0.101,23.2603,3.146748045,,0.1,0.101,23.2603,3.146748045,,0.045,0.046,10.5938,2.360268924,,0.145,0.146,33.6238,3.51523415,,0.04,0.041,9.4423,2.245199595,,0.054,0.055,12.6665,2.538960713,
254,-0.001,0.115,0.116,26.7148,3.285217719,,0.096,0.097,22.3391,3.106338506,,0.099,0.1,23.03,3.136797714,,0.099,0.1,23.03,3.136797714,,0.045,0.046,10.5938,2.360268924,,0.145,0.146,33.6238,3.51523415,,0.04,0.041,9.4423,2.245199595,,0.053,0.054,12.4362,2.520611574,
255,-0.001,0.114,0.115,26.4845,3.276559656,,0.096,0.097,22.3391,3.106338506,,0.099,0.1,23.03,3.136797714,,0.099,0.1,23.03,3.136797714,,0.045,0.046,10.5938,2.360268924,,0.145,0.146,33.6238,3.51523415,,0.04,0.041,9.4423,2.245199595,,0.053,0.054,12.4362,2.520611574,
256,-0.001,0.113,0.114,26.2542,3.267825976,,0.095,0.096,22.1088,3.095975719,,0.098,0.099,22.7997,3.126747378,,0.098,0.099,22.7997,3.126747378,,0.044,0.045,10.3635,2.338290018,,0.144,0.145,33.3935,3.50836127,,0.04,0.041,9.4423,2.245199595,,0.053,0.054,12.4362,2.520611574,
257,-0.001,0.112,0.113,26.0239,3.259015347,,0.095,0.096,22.1088,3.095975719,,0.098,0.099,22.7997,3.126747378,,0.098,0.099,22.7997,3.126747378,,0.044,0.045,10.3635,2.338290018,,0.144,0.145,33.3935,3.50836127,,0.039,0.04,9.212,2.220506982,,0.052,0.053,12.2059,2.501919441,
258,-0.001,0.112,0.113,26.0239,3.259015347,,0.094,0.095,21.8785,3.085504419,,0.097,0.098,22.5694,3.116595007,,0.097,0.098,22.5694,3.116595007,,0.044,0.045,10.3635,2.338290018,,0.144,0.145,33.3935,3.50836127,,0.039,0.04,9.212,2.220506982,,0.052,0.053,12.2059,2.501919441,
259,-0.001,0.111,0.112,25.7936,3.250126399,,0.093,0.094,21.6482,3.07492231,,0.097,0.098,22.5694,3.116595007,,0.096,0.097,22.3391,3.106338506,,0.043,0.044,10.1332,2.315817162,,0.143,0.144,33.1632,3.501440827,,0.039,0.04,9.212,2.220506982,,0.052,0.053,12.2059,2.501919441,
260,-0.001,0.11,0.111,25.5633,3.241157729,,0.093,0.094,21.6482,3.07492231,,0.096,0.097,22.3391,3.106338506,,0.096,0.097,22.3391,3.106338506,,0.043,0.044,10.1332,2.315817162,,0.143,0.144,33.1632,3.501440827,,0.039,0.04,9.212,2.220506982,,0.051,0.052,11.9756,2.482871246,
261,-0.001,0.109,0.11,25.333,3.232107894,,0.092,0.093,21.4179,3.064227021,,0.096,0.097,22.3391,3.106338506,,0.095,0.096,22.1088,3.095975719,,0.043,0.044,10.1332,2.315817162,,0.143,0.144,33.1632,3.501440827,,0.038,0.039,8.9817,2.195189174,,0.051,0.052,11.9756,2.482871246,
262,-0.001,0.108,0.109,25.1027,3.22297541,,0.092,0.093,21.4179,3.064227021,,0.095,0.096,22.1088,3.095975719,,0.095,0.096,22.1088,3.095975719,,0.043,0.044,10.1332,2.315817162,,0.142,0.143,32.9329,3.494472158,,0.038,0.039,8.9817,2.195189174,,0.051,0.052,11.9756,2.482871246,
263,-0.001,0.108,0.109,25.1027,3.22297541,,0.091,0.092,21.1876,3.053416105,,0.095,0.096,22.1088,3.095975719,,0.094,0.095,21.8785,3.085504419,,0.042,0.043,9.9029,2.292827644,,0.142,0.143,32.9329,3.494472158,,0.038,0.039,8.9817,2.195189174,,0.051,0.052,11.9756,2.482871246,
