,Blank,F13Jun19_0.1mR2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_0.1mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F22Aug19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_5mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_0.1R2,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_0.1R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_5mR2,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_5mR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F11Sep19_9mR2,A(CDOM),a(CDOM),ln(a),Sr
232,-0.005,0.075,0.08,18.424,2.913654163,,0.119,0.124,28.5572,3.351909093,,0.062,0.067,30.8602,3.429467328,,0.122,0.127,29.2481,3.375814614,,0.048,0.053,24.4118,3.195066622,,0.127,0.132,30.3996,3.41442945,,0.062,0.067,30.8602,3.429467328,,0.107,0.112,25.7936,3.250126399,,0.05,0.055,25.333,3.232107894,,0.039,0.044,10.1332,2.315817162,
233,-0.005,0.074,0.079,18.1937,2.90107538,,0.117,0.122,28.0966,3.335648573,,0.061,0.066,30.3996,3.41442945,,0.121,0.126,29.0178,3.367909435,,0.047,0.052,23.9512,3.176018427,,0.126,0.131,30.1693,3.406824851,,0.061,0.066,30.3996,3.41442945,,0.106,0.111,25.5633,3.241157729,,0.049,0.054,24.8724,3.213758755,,0.038,0.043,9.9029,2.292827644,
234,-0.005,0.073,0.078,17.9634,2.888336355,,0.115,0.12,27.636,3.319119271,,0.06,0.065,29.939,3.399161978,,0.12,0.125,28.7875,3.359941265,,0.046,0.051,23.4906,3.156600341,,0.124,0.129,29.7087,3.391439932,,0.06,0.065,29.939,3.399161978,,0.105,0.11,25.333,3.232107894,,0.049,0.054,24.8724,3.213758755,,0.038,0.043,9.9029,2.292827644,
235,-0.005,0.072,0.077,17.7331,2.87543295,,0.113,0.118,27.1754,3.302312152,,0.059,0.064,29.4784,3.383657792,,0.119,0.124,28.5572,3.351909093,,0.045,0.05,23.03,3.136797714,,0.122,0.127,29.2481,3.375814614,,0.059,0.064,29.4784,3.383657792,,0.104,0.109,25.1027,3.22297541,,0.048,0.053,24.4118,3.195066622,,0.037,0.042,9.6726,2.269297146,
236,-0.005,0.071,0.076,17.5028,2.862360868,,0.112,0.117,26.9451,3.293801463,,0.058,0.063,29.0178,3.367909435,,0.118,0.123,28.3269,3.343811883,,0.045,0.05,23.03,3.136797714,,0.12,0.125,28.7875,3.359941265,,0.058,0.063,29.0178,3.367909435,,0.103,0.108,24.8724,3.213758755,,0.048,0.053,24.4118,3.195066622,,0.036,0.041,9.4423,2.245199595,
237,-0.005,0.07,0.075,17.2725,2.849115641,,0.111,0.116,26.7148,3.285217719,,0.058,0.063,29.0178,3.367909435,,0.117,0.122,28.0966,3.335648573,,0.044,0.049,22.5694,3.116595007,,0.119,0.124,28.5572,3.351909093,,0.057,0.062,28.5572,3.351909093,,0.102,0.107,24.6421,3.204456362,,0.048,0.053,24.4118,3.195066622,,0.036,0.041,9.4423,2.245199595,
238,-0.005,0.069,0.074,17.0422,2.835692621,,0.109,0.114,26.2542,3.267825976,,0.057,0.062,28.5572,3.351909093,,0.116,0.121,27.8663,3.327418073,,0.044,0.049,22.5694,3.116595007,,0.117,0.122,28.0966,3.335648573,,0.056,0.061,28.0966,3.335648573,,0.101,0.106,24.4118,3.195066622,,0.047,0.052,23.9512,3.176018427,,0.035,0.04,9.212,2.220506982,
239,-0.005,0.068,0.073,16.8119,2.822086969,,0.108,0.113,26.0239,3.259015347,,0.056,0.061,28.0966,3.335648573,,0.115,0.12,27.636,3.319119271,,0.044,0.049,22.5694,3.116595007,,0.116,0.121,27.8663,3.327418073,,0.056,0.061,28.0966,3.335648573,,0.101,0.106,24.4118,3.195066622,,0.047,0.052,23.9512,3.176018427,,0.035,0.04,9.212,2.220506982,
240,-0.005,0.068,0.073,16.8119,2.822086969,,0.107,0.112,25.7936,3.250126399,,0.056,0.061,28.0966,3.335648573,,0.115,0.12,27.636,3.319119271,,0.043,0.048,22.1088,3.095975719,,0.115,0.12,27.636,3.319119271,,0.055,0.06,27.636,3.319119271,,0.1,0.105,24.1815,3.185587878,,0.047,0.052,23.9512,3.176018427,,0.035,0.04,9.212,2.220506982,
241,-0.005,0.067,0.072,16.5816,2.808293647,,0.106,0.111,25.5633,3.241157729,,0.055,0.06,27.636,3.319119271,,0.114,0.119,27.4057,3.310751021,,0.043,0.048,22.1088,3.095975719,,0.113,0.118,27.1754,3.302312152,,0.054,0.059,27.1754,3.302312152,,0.1,0.105,24.1815,3.185587878,,0.046,0.051,23.4906,3.156600341,,0.034,0.039,8.9817,2.195189174,
242,-0.004,0.066,0.07,16.121,2.78012277,,0.105,0.109,25.1027,3.22297541,,0.055,0.059,27.1754,3.302312152,,0.113,0.117,26.9451,3.293801463,,0.043,0.047,21.6482,3.07492231,,0.112,0.116,26.7148,3.285217719,,0.054,0.058,26.7148,3.285217719,,0.099,0.103,23.7209,3.166356516,,0.046,0.05,23.03,3.136797714,,0.034,0.038,8.7514,2.169213688,
243,-0.004,0.065,0.069,15.8907,2.765734032,,0.103,0.107,24.6421,3.204456362,,0.054,0.058,26.7148,3.285217719,,0.113,0.117,26.9451,3.293801463,,0.042,0.046,21.1876,3.053416105,,0.111,0.115,26.4845,3.276559656,,0.053,0.057,26.2542,3.267825976,,0.098,0.102,23.4906,3.156600341,,0.046,0.05,23.03,3.136797714,,0.034,0.038,8.7514,2.169213688,
244,-0.004,0.065,0.069,15.8907,2.765734032,,0.103,0.107,24.6421,3.204456362,,0.054,0.058,26.7148,3.285217719,,0.112,0.116,26.7148,3.285217719,,0.042,0.046,21.1876,3.053416105,,0.11,0.114,26.2542,3.267825976,,0.053,0.057,26.2542,3.267825976,,0.098,0.102,23.4906,3.156600341,,0.046,0.05,23.03,3.136797714,,0.033,0.037,8.5211,2.14254544,
245,-0.004,0.064,0.068,15.6604,2.751135233,,0.102,0.106,24.4118,3.195066622,,0.053,0.057,26.2542,3.267825976,,0.112,0.116,26.7148,3.285217719,,0.042,0.046,21.1876,3.053416105,,0.109,0.113,26.0239,3.259015347,,0.052,0.056,25.7936,3.250126399,,0.098,0.102,23.4906,3.156600341,,0.045,0.049,22.5694,3.116595007,,0.033,0.037,8.5211,2.14254544,
