Wavelength,MilliQ,MilliQ_2,MilliQ_3,C19nov21_CCT_r1,MilliQ_4_newcuvette,C19nov21_1.5m,C19nov21_21m,C19nov21_SMB,C19nov21_9m,C19nov21_TCT,C19nov21_0.1m,C19nov21_HPB,C19nov21_6m
354,0.002,0.001,0.002,0.02,-0.001,0.011,0.008,0.014,0.009,0.008,0.01,0.019,0.011
355,0.002,0.002,0.002,0.02,-0.001,0.011,0.008,0.014,0.009,0.008,0.01,0.019,0.011
356,0.002,0.001,0.002,0.02,-0.001,0.011,0.008,0.014,0.009,0.008,0.01,0.019,0.01
357,0.001,0.002,0.001,0.02,-0.001,0.011,0.008,0.014,0.008,0.008,0.01,0.019,0.01
358,0.001,0.001,0.002,0.02,-0.001,0.011,0.008,0.014,0.008,0.007,0.01,0.019,0.01
359,0.001,0.001,0.001,0.019,-0.001,0.011,0.007,0.013,0.008,0.007,0.01,0.019,0.01
360,0.002,0.002,0.001,0.019,-0.001,0.011,0.007,0.013,0.008,0.007,0.009,0.019,0.01
361,0.001,0.002,0.001,0.019,-0.001,0.011,0.007,0.013,0.008,0.007,0.009,0.018,0.01
362,0.001,0.001,0.001,0.019,-0.001,0.01,0.007,0.013,0.008,0.007,0.009,0.018,0.009
363,0.001,0.001,0.001,0.019,-0.001,0.01,0.007,0.013,0.008,0.007,0.009,0.018,0.009
364,0.001,0.001,0.001,0.019,-0.001,0.01,0.007,0.012,0.007,0.007,0.009,0.018,0.009
365,0.001,0.001,0.001,0.019,-0.001,0.01,0.006,0.013,0.007,0.007,0.008,0.017,0.009
366,0.001,0.001,0.001,0.019,-0.001,0.01,0.006,0.012,0.007,0.007,0.008,0.017,0.009
367,0.001,0.001,0.001,0.018,-0.001,0.01,0.006,0.012,0.007,0.007,0.008,0.017,0.009
368,0.001,0.001,0.001,0.018,-0.001,0.01,0.006,0.012,0.007,0.007,0.008,0.017,0.009
369,0.001,0.001,0.001,0.018,-0.001,0.009,0.006,0.012,0.007,0.007,0.008,0.017,0.009
370,0.001,0.001,0.001,0.018,-0.001,0.009,0.006,0.012,0.007,0.007,0.008,0.017,0.008
371,0.001,0.001,0.001,0.018,-0.001,0.009,0.005,0.012,0.006,0.006,0.008,0.017,0.008
372,0.001,0.001,0.001,0.018,-0.001,0.009,0.005,0.012,0.006,0.007,0.008,0.016,0.008
373,0.001,0.001,0.001,0.018,-0.001,0.009,0.005,0.011,0.006,0.006,0.007,0.016,0.008
374,0.001,0.001,0.001,0.018,-0.001,0.009,0.005,0.011,0.006,0.006,0.007,0.016,0.008
375,0.001,0.001,0.001,0.018,-0.001,0.009,0.005,0.011,0.006,0.006,0.007,0.016,0.008
376,0.001,0.001,0.001,0.018,-0.001,0.009,0.005,0.011,0.006,0.006,0.007,0.016,0.008
377,0.001,0.001,0.001,0.018,-0.001,0.009,0.005,0.011,0.006,0.006,0.007,0.016,0.008
378,0.001,0.001,0.001,0.018,-0.001,0.009,0.005,0.011,0.006,0.006,0.007,0.016,0.008
379,0.001,0.001,0.001,0.017,-0.001,0.009,0.005,0.011,0.006,0.006,0.007,0.015,0.008
380,0.001,0.001,0.001,0.017,-0.001,0.009,0.005,0.01,0.006,0.006,0.007,0.015,0.007
381,0.001,0.001,0.001,0.017,-0.001,0.009,0.005,0.01,0.006,0.006,0.007,0.015,0.007
382,0.001,0.001,0.001,0.017,-0.001,0.008,0.005,0.01,0.005,0.006,0.006,0.015,0.007
383,0.001,0.001,0.001,0.017,-0.001,0.009,0.005,0.01,0.005,0.006,0.006,0.015,0.007
384,0.001,0.001,0.001,0.017,-0.001,0.008,0.004,0.01,0.005,0.006,0.006,0.015,0.007
385,0.001,0.001,0.001,0.017,-0.001,0.008,0.004,0.01,0.005,0.006,0.006,0.014,0.007
386,0.001,0.001,0.001,0.017,-0.001,0.008,0.004,0.01,0.005,0.006,0.006,0.014,0.007
387,0.001,0.001,0.001,0.016,-0.001,0.008,0.004,0.01,0.005,0.006,0.006,0.014,0.007
388,0,0.001,0.001,0.016,-0.001,0.008,0.004,0.01,0.005,0.006,0.006,0.014,0.006
389,0.001,0.001,0.001,0.016,-0.001,0.008,0.004,0.01,0.005,0.006,0.006,0.014,0.006
390,0.001,0.001,0.001,0.017,-0.001,0.008,0.004,0.009,0.005,0.006,0.006,0.014,0.006
391,0.001,0.001,0.001,0.017,-0.001,0.008,0.004,0.009,0.005,0.006,0.006,0.014,0.006
392,0.001,0.001,0.001,0.016,-0.001,0.008,0.004,0.009,0.005,0.006,0.006,0.014,0.006
393,0.001,0.001,0.001,0.016,-0.001,0.008,0.004,0.009,0.004,0.005,0.005,0.014,0.006
394,0.001,0.001,0.001,0.016,-0.001,0.008,0.004,0.009,0.004,0.005,0.005,0.013,0.006
395,0.001,0.001,0.001,0.016,-0.001,0.008,0.003,0.009,0.004,0.005,0.005,0.013,0.006
396,0.001,0.001,0,0.016,-0.001,0.008,0.003,0.009,0.004,0.005,0.005,0.013,0.006
397,0.001,0,0.001,0.016,-0.001,0.008,0.003,0.009,0.004,0.005,0.005,0.013,0.006
398,0,0.001,0.001,0.016,-0.001,0.008,0.003,0.009,0.004,0.005,0.005,0.013,0.006
399,0.001,0.001,0.001,0.016,-0.001,0.008,0.003,0.009,0.004,0.005,0.005,0.013,0.006
400,0,0,0,0.016,-0.001,0.008,0.003,0.008,0.004,0.005,0.005,0.013,0.005
401,0,0.001,0.001,0.016,-0.001,0.008,0.003,0.008,0.004,0.005,0.005,0.013,0.005
402,0.001,0.001,0.001,0.016,-0.001,0.007,0.003,0.008,0.004,0.005,0.005,0.013,0.005
403,0.001,0,0,0.016,-0.001,0.007,0.003,0.008,0.004,0.005,0.005,0.012,0.005
404,0,0,0,0.016,-0.001,0.007,0.003,0.008,0.004,0.005,0.005,0.012,0.005
405,0,0,0,0.015,-0.001,0.007,0.003,0.008,0.004,0.005,0.004,0.012,0.005
406,0,0,0,0.015,-0.001,0.007,0.003,0.008,0.004,0.005,0.004,0.012,0.005
407,0,0,0,0.015,-0.001,0.007,0.003,0.008,0.004,0.005,0.004,0.012,0.005
408,0,0,0,0.015,-0.001,0.007,0.003,0.008,0.004,0.005,0.004,0.012,0.005
409,0,0,0,0.015,-0.001,0.007,0.003,0.008,0.004,0.005,0.004,0.012,0.005
410,0,0,0,0.015,-0.001,0.007,0.003,0.008,0.004,0.005,0.004,0.012,0.005
411,0,0,0,0.015,-0.001,0.007,0.002,0.008,0.003,0.005,0.004,0.012,0.005
412,0,0,0,0.015,-0.001,0.007,0.002,0.008,0.003,0.005,0.004,0.012,0.005
413,0,0,0,0.015,-0.001,0.007,0.002,0.008,0.003,0.005,0.004,0.012,0.005
414,0,0,0,0.015,-0.001,0.007,0.002,0.007,0.003,0.005,0.004,0.011,0.005
415,0,0,0,0.015,-0.001,0.007,0.002,0.007,0.003,0.005,0.004,0.011,0.005
416,0,0,0,0.015,-0.001,0.007,0.002,0.007,0.003,0.005,0.004,0.011,0.004
417,0,0,0,0.015,-0.001,0.007,0.002,0.007,0.003,0.005,0.004,0.011,0.004
418,0,0,0,0.015,-0.001,0.007,0.002,0.007,0.003,0.005,0.004,0.011,0.004
