Wavelength,MilliQ,C23sep21_CCT_r1,C23sep21_20m_r2,C23sep21_SMB_r1,C23sep21_0.1m_r2,C23sep21_HPB_r2,C23sep21_9m_r1,C23sep21_TCT_r2
475,0.001,0.033,0.006,0.004,0.001,0.012,0.001,0.023
476,0.001,0.033,0.006,0.004,0.001,0.012,0.001,0.023
477,0.001,0.033,0.006,0.004,0.001,0.012,0.001,0.023
478,0.001,0.033,0.006,0.004,0.001,0.012,0.001,0.023
479,0.001,0.033,0.006,0.004,0.001,0.012,0.001,0.023
480,0.001,0.033,0.006,0.004,0.001,0.012,0.001,0.023
481,0.001,0.033,0.006,0.004,0.001,0.012,0.001,0.023
482,0.001,0.032,0.006,0.004,0.001,0.012,0.001,0.023
483,0.001,0.032,0.006,0.004,0.001,0.012,0.001,0.023
484,0.001,0.032,0.006,0.004,0.001,0.012,0.001,0.023
485,0.001,0.032,0.006,0.004,0.001,0.011,0.001,0.023
486,0.001,0.032,0.006,0.003,0.001,0.011,0.001,0.023
487,0.001,0.032,0.006,0.004,0.001,0.011,0.001,0.023
488,0.001,0.032,0.006,0.003,0.001,0.011,0.001,0.023
489,0,0.032,0.006,0.003,0.001,0.011,0.001,0.023
490,0,0.032,0.006,0.003,0.001,0.011,0.001,0.023
491,0,0.032,0.005,0.003,0.001,0.011,0.001,0.023
492,0.001,0.032,0.006,0.003,0.001,0.011,0.001,0.023
493,0,0.032,0.006,0.003,0.001,0.011,0.001,0.023
494,0.001,0.032,0.006,0.003,0.001,0.011,0.001,0.022
495,0.001,0.032,0.006,0.003,0.001,0.011,0.001,0.023
496,0,0.032,0.005,0.003,0.001,0.011,0.001,0.022
497,0,0.032,0.005,0.003,0.001,0.011,0.001,0.022
498,0,0.032,0.005,0.003,0.001,0.011,0.001,0.022
499,0,0.032,0.005,0.003,0.001,0.01,0.001,0.022
500,0.001,0.032,0.005,0.003,0.001,0.01,0.001,0.022
501,0.001,0.032,0.005,0.003,0.001,0.01,0.001,0.022
502,0,0.032,0.005,0.003,0.001,0.01,0.001,0.022
503,0,0.032,0.005,0.003,0.001,0.01,0.001,0.022
504,0.001,0.032,0.005,0.003,0.001,0.01,0.001,0.022
505,0,0.032,0.005,0.003,0.001,0.01,0.001,0.022
506,0,0.032,0.005,0.003,0.001,0.01,0.001,0.022
507,0,0.032,0.005,0.003,0.001,0.01,0.001,0.022
508,0,0.032,0.005,0.003,0,0.01,0.001,0.022
509,0,0.032,0.005,0.003,0,0.01,0.001,0.022
510,0,0.032,0.005,0.003,0,0.01,0.001,0.022
511,0,0.032,0.005,0.003,0,0.01,0.001,0.022
512,0,0.032,0.005,0.003,0.001,0.01,0.001,0.022
513,0,0.032,0.005,0.003,0.001,0.01,0.001,0.022
514,0,0.032,0.005,0.003,0,0.01,0.001,0.022
515,0,0.032,0.005,0.003,0,0.01,0.001,0.022
516,0,0.032,0.005,0.003,0,0.01,0.001,0.022
517,0,0.032,0.004,0.003,0,0.01,0.001,0.022
518,0,0.032,0.004,0.003,0,0.01,0.001,0.022
519,0,0.032,0.004,0.003,0,0.01,0.001,0.022
520,0,0.032,0.004,0.003,0,0.01,0.001,0.022
521,0,0.032,0.004,0.003,0,0.009,0.001,0.022
522,0,0.032,0.004,0.003,0,0.009,0.001,0.021
523,0,0.032,0.004,0.003,0,0.009,0.001,0.021
524,0,0.032,0.004,0.003,0,0.009,0.001,0.021
525,0,0.032,0.004,0.003,0,0.009,0.001,0.021
526,0,0.032,0.004,0.003,0,0.009,0.001,0.022
527,0,0.032,0.004,0.003,0,0.009,0.001,0.021
528,0,0.032,0.004,0.003,0,0.009,0.001,0.021
529,0,0.031,0.004,0.003,0,0.009,0.001,0.021
530,0,0.031,0.004,0.003,0,0.009,0.001,0.021
531,0,0.031,0.004,0.003,0,0.009,0,0.021
532,0,0.031,0.004,0.003,0,0.009,0,0.021
533,0,0.031,0.004,0.003,0,0.009,0.001,0.021
534,0,0.031,0.004,0.003,0,0.009,0,0.021
535,0,0.032,0.004,0.003,0,0.009,0.001,0.021
536,0.001,0.032,0.005,0.004,0.001,0.01,0.001,0.022
537,0,0.031,0.004,0.003,0,0.009,0.001,0.021
538,0,0.031,0.004,0.003,0,0.009,0,0.021
539,0,0.031,0.004,0.003,0,0.009,0,0.021
540,0,0.031,0.004,0.003,0,0.009,0,0.021
541,0,0.031,0.004,0.003,0,0.009,0,0.021
542,0,0.031,0.004,0.003,0,0.009,0,0.021
543,0,0.031,0.004,0.003,0,0.009,0,0.021
544,0,0.031,0.004,0.003,0,0.009,0,0.021
545,0,0.031,0.004,0.003,0,0.009,0,0.021
546,0,0.031,0.004,0.003,0,0.008,0,0.021
547,0,0.031,0.003,0.003,0,0.008,0,0.021
548,0,0.031,0.003,0.003,0,0.008,0,0.021
549,0,0.031,0.003,0.003,0,0.008,0,0.021
550,0,0.031,0.003,0.003,0,0.008,0,0.021
551,0,0.031,0.003,0.003,0,0.008,0,0.021
552,0,0.031,0.003,0.003,0,0.008,0,0.021
553,0,0.031,0.003,0.003,0,0.008,0,0.021
554,0,0.031,0.003,0.003,0,0.008,0,0.021
