Wavelength nm.,MilliQ,CP2_11jul24_BOTr2,CC4_11jul24_9r2,CC3_11jul24_01r2,CC4_11jul24_6r1,CP2_11jul24_01r1,CC4_11jul24_01r1,CS1_11jul24_01r1,CC1_11jul24_01r1,CC4_11jul24_15r1,CC4_11jul24_BOTr2,CC1_11jul24_BOTr2,CC3_11jul24_15r2,CC2_11jul24_01r1,CP1_11jul24_01r2
372,-0.001,0.012,0.009,0.005,0.014,0.014,0.005,0.014,0.009,0.005,0.005,0.008,0.005,0.006,0.017
373,-0.001,0.012,0.009,0.005,0.014,0.014,0.005,0.014,0.009,0.004,0.005,0.007,0.005,0.006,0.017
374,-0.001,0.012,0.009,0.005,0.014,0.013,0.004,0.014,0.009,0.004,0.005,0.007,0.005,0.006,0.016
375,0,0.012,0.009,0.005,0.014,0.013,0.004,0.014,0.009,0.004,0.005,0.007,0.005,0.006,0.016
376,0,0.012,0.008,0.005,0.014,0.013,0.004,0.014,0.009,0.004,0.005,0.007,0.005,0.006,0.016
377,0,0.012,0.008,0.005,0.014,0.013,0.004,0.014,0.009,0.004,0.005,0.007,0.005,0.006,0.016
378,0,0.011,0.008,0.005,0.013,0.013,0.004,0.013,0.009,0.004,0.005,0.007,0.005,0.006,0.016
379,-0.001,0.011,0.008,0.005,0.013,0.013,0.004,0.013,0.009,0.004,0.005,0.007,0.004,0.006,0.015
380,-0.001,0.011,0.008,0.005,0.013,0.012,0.004,0.013,0.008,0.004,0.005,0.007,0.004,0.005,0.015
381,0,0.011,0.008,0.005,0.013,0.013,0.004,0.013,0.008,0.004,0.005,0.007,0.004,0.006,0.015
382,0,0.011,0.008,0.005,0.013,0.012,0.004,0.013,0.008,0.004,0.005,0.007,0.004,0.005,0.015
383,-0.001,0.011,0.008,0.005,0.013,0.012,0.004,0.012,0.008,0.004,0.004,0.007,0.004,0.005,0.015
384,0,0.011,0.008,0.004,0.013,0.012,0.004,0.012,0.008,0.004,0.004,0.006,0.004,0.005,0.014
385,-0.001,0.01,0.008,0.004,0.013,0.012,0.004,0.012,0.008,0.004,0.004,0.006,0.004,0.005,0.014
386,-0.001,0.01,0.007,0.004,0.013,0.012,0.004,0.012,0.008,0.004,0.004,0.006,0.004,0.005,0.014
387,-0.001,0.01,0.007,0.004,0.012,0.012,0.004,0.011,0.008,0.003,0.004,0.006,0.004,0.005,0.014
388,-0.001,0.01,0.007,0.004,0.012,0.011,0.003,0.011,0.007,0.003,0.004,0.006,0.004,0.005,0.013
389,0,0.01,0.007,0.004,0.012,0.011,0.003,0.011,0.007,0.003,0.004,0.006,0.004,0.005,0.013
390,-0.001,0.009,0.007,0.004,0.012,0.011,0.003,0.011,0.007,0.003,0.004,0.006,0.003,0.005,0.013
391,-0.001,0.009,0.007,0.004,0.012,0.011,0.003,0.011,0.007,0.003,0.004,0.006,0.003,0.005,0.013
392,-0.001,0.009,0.007,0.004,0.012,0.011,0.003,0.011,0.007,0.003,0.004,0.006,0.003,0.005,0.013
393,-0.001,0.009,0.007,0.004,0.012,0.011,0.003,0.01,0.007,0.003,0.003,0.006,0.003,0.005,0.012
394,-0.001,0.009,0.007,0.004,0.012,0.011,0.003,0.01,0.007,0.003,0.003,0.005,0.003,0.005,0.012
395,-0.001,0.009,0.007,0.004,0.012,0.011,0.003,0.01,0.007,0.003,0.003,0.005,0.003,0.005,0.012
396,-0.001,0.009,0.006,0.003,0.012,0.01,0.003,0.01,0.007,0.003,0.003,0.005,0.003,0.004,0.012
