Wavelength,MilliQ,C9jun22_1_5m_r2,C9jun22_9m_r2,C9jun22_SMB_r1,C9jun22_0_1m_r2,C9jun22_TCT_r2,C9jun22_CCS_r2,C9jun22_CCT_r2,C9jun22_21m_r2,C9jun22_6m_r2,C9jun22_1_5m_r1
453,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.007,0.003,0.011
454,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.007,0.003,0.011
455,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.007,0.002,0.011
456,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.007,0.002,0.011
457,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.007,0.002,0.011
458,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.007,0.002,0.011
459,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.007,0.002,0.011
460,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.007,0.002,0.011
461,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.007,0.002,0.011
462,-0.001,0.005,0.002,0.003,0.001,0.003,0.002,0.007,0.007,0.002,0.011
463,-0.001,0.005,0.002,0.003,0.001,0.003,0.002,0.007,0.007,0.002,0.011
464,-0.001,0.005,0.002,0.003,0.001,0.002,0.002,0.007,0.007,0.002,0.011
465,-0.001,0.005,0.002,0.003,0.001,0.002,0.002,0.007,0.007,0.002,0.011
466,-0.001,0.005,0.002,0.003,0.001,0.003,0.002,0.007,0.007,0.002,0.011
467,-0.001,0.005,0.002,0.003,0.001,0.002,0.002,0.007,0.007,0.002,0.011
468,-0.001,0.005,0.002,0.003,0.001,0.002,0.002,0.007,0.007,0.002,0.011
469,-0.001,0.005,0.002,0.003,0.001,0.002,0.002,0.007,0.007,0.002,0.011
470,-0.001,0.005,0.002,0.003,0.001,0.002,0.002,0.007,0.007,0.002,0.011
471,-0.001,0.005,0.002,0.003,0.001,0.002,0.002,0.007,0.007,0.002,0.011
