Wavelength nm.,MilliQ,C50_30sep24_01R1,C50_17feb25_15R1,CP2_15aug24_01R1,C50_28oct24_01R1,CP1_17feb25_01R1,C50_28oct24_6R1,C50_30sep24_15R1,CP1_17feb25_BOTR1,C50_30sep24_9R1,C50_30sep24_6R1,C50_28oct24_15R1,CC3_17feb25_01R2,C50_30sep24_20R1,C50_17feb25_01R1
348,0,0.01,0.019,0.017,0.011,0.011,0.012,0.007,0.013,0.013,0.012,0.011,0.012,0.009,0.012
349,0,0.01,0.019,0.017,0.011,0.011,0.012,0.007,0.013,0.013,0.012,0.011,0.011,0.009,0.012
350,0.001,0.01,0.019,0.017,0.011,0.011,0.012,0.007,0.012,0.013,0.012,0.011,0.011,0.009,0.012
351,0,0.01,0.018,0.017,0.011,0.011,0.012,0.007,0.012,0.013,0.012,0.01,0.011,0.008,0.011
352,0,0.01,0.018,0.016,0.01,0.011,0.011,0.007,0.012,0.012,0.011,0.01,0.011,0.008,0.011
353,0,0.01,0.018,0.016,0.01,0.01,0.011,0.007,0.012,0.012,0.011,0.01,0.011,0.008,0.011
354,0,0.009,0.018,0.016,0.01,0.01,0.011,0.007,0.012,0.012,0.011,0.01,0.011,0.008,0.011
355,0,0.009,0.018,0.016,0.01,0.01,0.011,0.007,0.012,0.012,0.011,0.01,0.011,0.008,0.01
356,0,0.009,0.018,0.016,0.01,0.01,0.011,0.007,0.012,0.012,0.011,0.01,0.011,0.008,0.01
357,0,0.009,0.017,0.016,0.009,0.01,0.011,0.006,0.011,0.012,0.011,0.01,0.01,0.008,0.011
358,0,0.009,0.017,0.016,0.009,0.01,0.01,0.006,0.011,0.011,0.011,0.009,0.01,0.007,0.01
359,0.001,0.009,0.017,0.015,0.009,0.01,0.01,0.006,0.011,0.011,0.011,0.009,0.01,0.007,0.01
360,0,0.009,0.017,0.015,0.009,0.01,0.01,0.006,0.011,0.011,0.011,0.009,0.01,0.007,0.01
361,0,0.009,0.017,0.015,0.009,0.009,0.01,0.006,0.011,0.011,0.01,0.009,0.01,0.007,0.01
