Wavelenght,MilliQ,C14oct22_6m_r1,C14oct22_1_5m_r1,C29sep22_1_5m_r2,C14oct22_6m_r2,C29sep22_SMB_r1,C14oct22_SMB_r1,C14oct22_9m_r1,C29sep22_CCS_r2,C29sep22_0_1m_r2
457,0.001,0.004,0.005,0.003,0.005,0.004,0.007,0.029,0.005,0.003
458,0.001,0.003,0.004,0.003,0.005,0.004,0.007,0.029,0.005,0.003
459,0.001,0.003,0.004,0.003,0.005,0.004,0.007,0.029,0.005,0.003
460,0.001,0.003,0.004,0.003,0.005,0.004,0.007,0.029,0.005,0.003
461,0.001,0.003,0.004,0.003,0.005,0.004,0.007,0.029,0.005,0.003
462,0.001,0.003,0.004,0.003,0.005,0.004,0.007,0.028,0.005,0.003
463,0.001,0.003,0.004,0.003,0.005,0.004,0.007,0.028,0.005,0.003
464,0.001,0.003,0.004,0.003,0.005,0.004,0.007,0.028,0.005,0.003
465,0.001,0.003,0.004,0.003,0.005,0.004,0.007,0.028,0.005,0.003
466,0.001,0.003,0.004,0.002,0.005,0.004,0.007,0.028,0.005,0.003
467,0.001,0.003,0.004,0.002,0.005,0.004,0.007,0.028,0.005,0.003
468,0.001,0.003,0.004,0.002,0.005,0.004,0.007,0.028,0.004,0.003
469,0.001,0.003,0.004,0.002,0.005,0.004,0.007,0.028,0.004,0.003
470,0.001,0.003,0.004,0.002,0.005,0.004,0.007,0.028,0.004,0.003
471,0.001,0.003,0.004,0.002,0.005,0.004,0.007,0.028,0.004,0.003
472,0.001,0.003,0.004,0.002,0.005,0.004,0.007,0.028,0.004,0.003
473,0.001,0.003,0.004,0.002,0.005,0.004,0.007,0.028,0.005,0.003
474,0.001,0.003,0.004,0.002,0.005,0.004,0.007,0.028,0.004,0.003
475,0.001,0.003,0.004,0.002,0.004,0.004,0.007,0.028,0.004,0.003
476,0.001,0.003,0.004,0.002,0.004,0.004,0.007,0.028,0.004,0.003
477,0.001,0.003,0.004,0.002,0.004,0.004,0.007,0.027,0.004,0.003
478,0.001,0.003,0.004,0.002,0.004,0.004,0.006,0.027,0.004,0.003
479,0.001,0.003,0.004,0.002,0.004,0.003,0.006,0.027,0.004,0.002
480,0.001,0.003,0.004,0.002,0.004,0.004,0.006,0.027,0.004,0.002
481,0,0.003,0.004,0.002,0.004,0.003,0.006,0.027,0.004,0.002
482,0,0.003,0.004,0.002,0.004,0.003,0.006,0.027,0.004,0.002
483,0.001,0.003,0.004,0.002,0.004,0.003,0.006,0.027,0.004,0.002
484,0.001,0.003,0.004,0.002,0.004,0.003,0.006,0.027,0.004,0.002
485,0,0.003,0.003,0.002,0.004,0.003,0.006,0.027,0.004,0.002
486,0.001,0.003,0.003,0.002,0.004,0.003,0.006,0.027,0.004,0.002
