Wavelength nm.,MilliQ,CS1_15aug24_01r1,CC3_15aug24_15r2,CC4_15aug24_6r2,CC4_15aug24_01r2,CP2_15aug24_01r2,CC3_15aug24_BOTr1,CC2_15aug24_BOTr1,CC4_15aug24_6r1,CS2_15aug24_01r1,CC4_15aug24_15r1,CC3_15aug24_01r2,CC2_15aug24_01r2,CS1_15aug24_01r2
339,0.001,0.026,0.01,0.01,0.008,0.023,0.014,0.01,0.011,0.022,0.009,0.009,0.009,0.022
340,0.002,0.027,0.011,0.011,0.008,0.023,0.015,0.01,0.012,0.022,0.01,0.01,0.01,0.022
341,0.001,0.026,0.01,0.01,0.007,0.022,0.014,0.009,0.01,0.02,0.009,0.009,0.009,0.021
342,0.001,0.025,0.01,0.01,0.007,0.021,0.013,0.009,0.01,0.02,0.008,0.008,0.008,0.021
343,0,0.025,0.009,0.009,0.007,0.021,0.013,0.008,0.01,0.019,0.008,0.008,0.008,0.02
344,0.001,0.024,0.009,0.009,0.007,0.02,0.013,0.008,0.01,0.019,0.008,0.008,0.008,0.019
345,0.001,0.024,0.009,0.009,0.007,0.02,0.012,0.008,0.009,0.019,0.008,0.008,0.008,0.019
346,0.001,0.023,0.009,0.009,0.006,0.02,0.012,0.008,0.01,0.019,0.008,0.008,0.008,0.019
347,0.001,0.023,0.009,0.009,0.007,0.02,0.012,0.008,0.009,0.018,0.008,0.008,0.008,0.019
348,0.001,0.023,0.009,0.009,0.006,0.02,0.012,0.008,0.009,0.018,0.007,0.007,0.007,0.018
349,0,0.023,0.009,0.008,0.006,0.019,0.012,0.008,0.009,0.017,0.007,0.007,0.007,0.018
350,0.001,0.022,0.009,0.008,0.006,0.019,0.012,0.007,0.009,0.017,0.007,0.007,0.007,0.018
351,0.001,0.022,0.008,0.009,0.006,0.019,0.012,0.007,0.009,0.017,0.007,0.007,0.007,0.018
352,0.001,0.022,0.008,0.008,0.006,0.019,0.012,0.007,0.009,0.017,0.007,0.007,0.007,0.017
353,0.001,0.021,0.008,0.008,0.006,0.018,0.012,0.007,0.008,0.017,0.007,0.007,0.007,0.017
354,0.001,0.021,0.008,0.008,0.005,0.018,0.011,0.007,0.008,0.016,0.007,0.007,0.007,0.016
355,0.001,0.021,0.008,0.008,0.005,0.018,0.011,0.007,0.008,0.016,0.007,0.006,0.007,0.016
356,0.001,0.02,0.008,0.007,0.005,0.017,0.011,0.007,0.008,0.016,0.006,0.006,0.007,0.016
357,0,0.02,0.008,0.007,0.005,0.017,0.011,0.007,0.008,0.016,0.006,0.006,0.007,0.015
358,0,0.02,0.007,0.007,0.005,0.017,0.011,0.006,0.007,0.015,0.006,0.006,0.006,0.015
359,0.001,0.02,0.007,0.007,0.005,0.017,0.011,0.006,0.008,0.015,0.006,0.006,0.006,0.015
360,0,0.019,0.007,0.007,0.005,0.017,0.01,0.006,0.007,0.015,0.006,0.006,0.006,0.015
361,0.001,0.019,0.007,0.007,0.005,0.017,0.01,0.006,0.007,0.014,0.006,0.006,0.006,0.015
362,0.001,0.019,0.007,0.007,0.005,0.016,0.01,0.006,0.007,0.014,0.006,0.006,0.006,0.014
363,0.001,0.019,0.007,0.007,0.005,0.016,0.01,0.006,0.007,0.014,0.006,0.006,0.006,0.014
364,0,0.018,0.007,0.006,0.005,0.016,0.01,0.006,0.007,0.014,0.006,0.006,0.006,0.014
365,0,0.018,0.007,0.006,0.004,0.016,0.01,0.006,0.007,0.014,0.005,0.005,0.006,0.014
366,0,0.018,0.007,0.007,0.004,0.016,0.01,0.006,0.007,0.014,0.005,0.005,0.006,0.013
367,0,0.017,0.007,0.006,0.004,0.015,0.01,0.005,0.006,0.013,0.005,0.005,0.006,0.013
368,0,0.017,0.006,0.006,0.004,0.015,0.01,0.005,0.006,0.013,0.005,0.005,0.005,0.013
369,0,0.017,0.006,0.006,0.004,0.015,0.009,0.005,0.006,0.013,0.005,0.005,0.005,0.013
