Wavelength nm.,MilliQ,CP2_16apr25_BOTR1,CP1_16apr25_01R2,CP1_16apr25_01R1,CC3_16apr25_01R1,CS1_16apr25_01R1,CC3_16apr25_BOTR1,CP2_16apr25_01R1,CS2_16apr25_01R1,CC4_16apr25_6R2,CC3_16apr25_15R1,CC4_16apr25_BOTR2,CC2_16apr25_01R1
318,0,0.022,0.02,0.019,0.018,0.018,0.022,0.019,0.016,0.018,0.019,0.018,0.018
319,0,0.021,0.02,0.019,0.018,0.017,0.021,0.019,0.016,0.018,0.019,0.018,0.017
320,0,0.021,0.02,0.019,0.018,0.017,0.021,0.019,0.016,0.018,0.019,0.018,0.017
321,0,0.021,0.019,0.019,0.018,0.017,0.021,0.019,0.016,0.017,0.018,0.017,0.017
322,0,0.021,0.019,0.019,0.017,0.017,0.02,0.018,0.016,0.017,0.018,0.017,0.016
323,0,0.02,0.019,0.019,0.017,0.016,0.02,0.018,0.015,0.017,0.018,0.017,0.016
324,0,0.02,0.019,0.018,0.017,0.017,0.02,0.018,0.016,0.016,0.017,0.017,0.016
325,0,0.02,0.019,0.018,0.017,0.016,0.02,0.018,0.015,0.016,0.017,0.016,0.016
326,0.001,0.019,0.018,0.018,0.016,0.016,0.019,0.017,0.015,0.016,0.017,0.016,0.015
327,0,0.019,0.018,0.018,0.016,0.016,0.019,0.017,0.015,0.016,0.017,0.016,0.015
328,0.001,0.019,0.018,0.017,0.016,0.016,0.018,0.017,0.015,0.015,0.016,0.015,0.015
329,0.001,0.019,0.018,0.017,0.016,0.015,0.018,0.017,0.015,0.015,0.016,0.015,0.015
330,0,0.019,0.017,0.017,0.015,0.015,0.018,0.016,0.014,0.015,0.016,0.015,0.014
331,0,0.018,0.017,0.017,0.015,0.015,0.018,0.016,0.014,0.014,0.015,0.015,0.014
332,0,0.018,0.017,0.016,0.014,0.015,0.017,0.015,0.014,0.014,0.015,0.014,0.014
333,0,0.018,0.017,0.016,0.014,0.015,0.017,0.015,0.014,0.014,0.015,0.014,0.013
334,0.001,0.018,0.017,0.016,0.014,0.014,0.017,0.015,0.014,0.014,0.015,0.014,0.014
335,0,0.017,0.016,0.016,0.014,0.014,0.016,0.015,0.013,0.013,0.014,0.014,0.013
336,0.001,0.017,0.016,0.016,0.013,0.014,0.016,0.014,0.013,0.013,0.014,0.013,0.013
