Wavelength,MilliQ,C19aug22_6m_r1,C19aug22_20m_r2,C19aug22_1_5m_r1,C29sep22_21m_r1,C19aug22_9m_r1,C19aug22_CCS_r2,C29sep22_9m_r2,C19aug22_0_1m_r2,C19aug22_SMB_r1,C29sep22_6m_r2
339,-0.004,0.006,0.019,0.005,0.011,0.008,0.009,0.004,0.005,0.011,0.004
340,-0.003,0.007,0.02,0.006,0.012,0.008,0.01,0.006,0.006,0.012,0.005
341,-0.004,0.005,0.018,0.004,0.011,0.007,0.009,0.004,0.005,0.01,0.004
342,-0.004,0.005,0.018,0.004,0.01,0.006,0.008,0.003,0.004,0.009,0.003
343,-0.004,0.005,0.018,0.004,0.01,0.006,0.008,0.004,0.004,0.01,0.003
344,-0.004,0.005,0.017,0.004,0.01,0.006,0.008,0.004,0.004,0.009,0.003
345,-0.004,0.005,0.017,0.004,0.01,0.006,0.008,0.003,0.004,0.009,0.003
346,-0.004,0.004,0.017,0.003,0.009,0.006,0.007,0.003,0.004,0.009,0.003
347,-0.004,0.004,0.017,0.004,0.009,0.006,0.007,0.003,0.004,0.009,0.003
348,-0.004,0.004,0.016,0.003,0.009,0.006,0.007,0.003,0.004,0.009,0.003
349,-0.004,0.004,0.016,0.003,0.009,0.006,0.007,0.003,0.004,0.009,0.003
350,-0.004,0.004,0.016,0.003,0.009,0.006,0.007,0.003,0.004,0.008,0.003
351,-0.004,0.004,0.016,0.003,0.009,0.006,0.007,0.003,0.004,0.008,0.003
352,-0.004,0.004,0.016,0.003,0.009,0.006,0.007,0.003,0.004,0.008,0.003
353,-0.004,0.004,0.016,0.003,0.009,0.005,0.007,0.003,0.004,0.008,0.003
354,-0.004,0.004,0.016,0.003,0.009,0.005,0.007,0.003,0.003,0.008,0.002
355,-0.004,0.004,0.015,0.003,0.009,0.005,0.007,0.003,0.003,0.008,0.002
356,-0.004,0.004,0.015,0.003,0.009,0.005,0.007,0.003,0.003,0.008,0.002
357,-0.004,0.004,0.015,0.003,0.008,0.005,0.007,0.002,0.003,0.008,0.002
358,-0.004,0.003,0.015,0.003,0.008,0.005,0.007,0.002,0.003,0.008,0.002
359,-0.004,0.004,0.015,0.003,0.008,0.005,0.006,0.002,0.003,0.008,0.002
360,-0.004,0.004,0.014,0.002,0.008,0.005,0.007,0.002,0.003,0.008,0.002
361,-0.004,0.004,0.014,0.003,0.008,0.005,0.006,0.002,0.003,0.008,0.002
362,-0.004,0.003,0.014,0.003,0.008,0.005,0.006,0.002,0.003,0.007,0.002
363,-0.003,0.003,0.014,0.003,0.008,0.005,0.006,0.002,0.003,0.008,0.002
364,-0.003,0.003,0.014,0.002,0.008,0.005,0.006,0.002,0.003,0.007,0.002
365,-0.004,0.003,0.014,0.002,0.008,0.005,0.006,0.002,0.003,0.007,0.001
366,-0.004,0.003,0.014,0.002,0.008,0.004,0.006,0.002,0.003,0.007,0.002
367,-0.004,0.003,0.014,0.002,0.008,0.004,0.006,0.002,0.003,0.007,0.001
368,-0.003,0.003,0.013,0.002,0.008,0.004,0.006,0.002,0.003,0.007,0.001
369,-0.003,0.003,0.013,0.002,0.007,0.004,0.005,0.002,0.003,0.007,0.001
370,-0.003,0.003,0.013,0.002,0.007,0.004,0.005,0.002,0.003,0.007,0.001
371,-0.003,0.003,0.013,0.002,0.007,0.004,0.005,0.002,0.003,0.007,0.001
372,-0.003,0.003,0.013,0.002,0.007,0.004,0.005,0.002,0.003,0.006,0.001
373,-0.003,0.003,0.013,0.002,0.007,0.004,0.005,0.002,0.003,0.007,0.001
374,-0.003,0.003,0.013,0.002,0.007,0.004,0.005,0.002,0.002,0.006,0.001
375,-0.003,0.003,0.013,0.002,0.007,0.004,0.005,0.001,0.002,0.006,0.001
376,-0.003,0.003,0.012,0.002,0.007,0.004,0.005,0.001,0.002,0.006,0.001
377,-0.003,0.003,0.012,0.002,0.007,0.004,0.005,0.001,0.002,0.006,0.001
