Wavelength nm.,MilliQ,C50_17dec24_15R1,CC4_17dec24_BOTR1,CC3_17dec24_BOTR1,CC3_17dec24_15R1,CP2_17dec24_01R1,CS1_17dec24_01R2,CS2_17dec24_01R1,CS1_17dec24_01R1,CC2_17dec24_01R1,CC4_17dec24_01R1,CC4_17dec24_6R1,CS1_17feb25_01R1
350,0.001,0.01,0.009,0.013,0.013,0.026,0.024,0.024,0.023,0.025,0.01,0.009,0.01
351,0.001,0.01,0.009,0.013,0.013,0.026,0.024,0.024,0.022,0.024,0.01,0.009,0.01
352,0.001,0.01,0.009,0.013,0.013,0.025,0.024,0.024,0.022,0.024,0.01,0.009,0.01
353,0.001,0.01,0.009,0.013,0.012,0.025,0.023,0.023,0.021,0.024,0.01,0.008,0.01
354,0.001,0.009,0.008,0.012,0.012,0.024,0.023,0.023,0.021,0.023,0.009,0.008,0.009
355,0,0.009,0.008,0.012,0.012,0.024,0.022,0.022,0.021,0.023,0.009,0.008,0.009
356,0,0.009,0.008,0.012,0.011,0.023,0.022,0.021,0.02,0.022,0.009,0.008,0.009
357,0,0.009,0.008,0.012,0.011,0.023,0.022,0.021,0.02,0.021,0.009,0.007,0.009
358,0,0.008,0.008,0.012,0.011,0.023,0.021,0.021,0.02,0.021,0.009,0.007,0.009
359,0,0.009,0.008,0.011,0.011,0.022,0.021,0.021,0.019,0.021,0.009,0.007,0.009
360,0,0.008,0.007,0.011,0.011,0.022,0.021,0.021,0.019,0.021,0.009,0.007,0.009
361,0,0.008,0.007,0.011,0.011,0.022,0.021,0.02,0.019,0.021,0.009,0.007,0.009
362,0.001,0.008,0.007,0.011,0.011,0.021,0.021,0.02,0.019,0.021,0.009,0.007,0.009
363,0.001,0.008,0.007,0.011,0.01,0.021,0.02,0.02,0.018,0.02,0.008,0.007,0.008
364,0,0.008,0.007,0.01,0.01,0.021,0.02,0.02,0.018,0.02,0.008,0.007,0.008
365,0,0.007,0.007,0.01,0.01,0.02,0.019,0.019,0.018,0.019,0.008,0.006,0.008
366,0.001,0.008,0.007,0.01,0.01,0.02,0.02,0.019,0.018,0.019,0.008,0.006,0.008
367,0.001,0.008,0.007,0.01,0.01,0.02,0.019,0.019,0.018,0.019,0.008,0.007,0.008
368,0,0.007,0.007,0.01,0.009,0.02,0.019,0.019,0.017,0.019,0.008,0.006,0.008
369,0,0.007,0.007,0.01,0.009,0.019,0.018,0.018,0.017,0.019,0.007,0.006,0.008
370,0,0.007,0.006,0.009,0.009,0.019,0.018,0.018,0.017,0.018,0.007,0.006,0.007
371,0,0.007,0.006,0.009,0.009,0.018,0.018,0.018,0.016,0.018,0.007,0.006,0.007
372,0,0.007,0.006,0.009,0.009,0.018,0.018,0.017,0.016,0.018,0.007,0.006,0.007
373,0,0.007,0.006,0.01,0.009,0.018,0.018,0.017,0.016,0.018,0.007,0.006,0.007
374,0,0.007,0.006,0.009,0.009,0.018,0.018,0.017,0.016,0.017,0.007,0.006,0.007
375,0,0.007,0.006,0.009,0.009,0.018,0.017,0.017,0.016,0.017,0.007,0.006,0.007
376,0,0.006,0.006,0.009,0.009,0.018,0.017,0.016,0.015,0.017,0.007,0.006,0.007
377,0.001,0.006,0.006,0.009,0.008,0.017,0.017,0.016,0.015,0.017,0.007,0.006,0.007
378,0.001,0.006,0.005,0.009,0.008,0.017,0.016,0.016,0.015,0.016,0.007,0.005,0.007
379,0,0.006,0.005,0.009,0.008,0.017,0.016,0.016,0.015,0.016,0.006,0.005,0.007
380,0,0.006,0.005,0.008,0.008,0.016,0.016,0.016,0.014,0.016,0.006,0.005,0.006
381,0,0.006,0.005,0.008,0.008,0.016,0.016,0.015,0.014,0.016,0.006,0.005,0.006
382,0,0.006,0.005,0.008,0.008,0.016,0.016,0.015,0.014,0.015,0.006,0.005,0.006
383,0.001,0.006,0.005,0.008,0.008,0.016,0.015,0.015,0.014,0.015,0.006,0.005,0.006
384,0.001,0.006,0.005,0.008,0.008,0.016,0.015,0.015,0.014,0.015,0.006,0.005,0.006
385,0.001,0.006,0.005,0.008,0.008,0.016,0.015,0.015,0.014,0.015,0.006,0.005,0.006
386,0.001,0.006,0.005,0.008,0.008,0.015,0.015,0.015,0.013,0.015,0.006,0.005,0.006
387,0.001,0.006,0.005,0.008,0.007,0.015,0.014,0.014,0.013,0.014,0.006,0.005,0.006
388,0.001,0.006,0.005,0.008,0.007,0.015,0.014,0.014,0.013,0.014,0.006,0.005,0.006
389,0.001,0.005,0.005,0.008,0.007,0.015,0.014,0.014,0.013,0.014,0.006,0.004,0.005
390,0.001,0.005,0.005,0.007,0.007,0.014,0.014,0.013,0.013,0.014,0.006,0.004,0.005
391,0.001,0.005,0.005,0.007,0.007,0.014,0.014,0.013,0.012,0.014,0.005,0.004,0.005
392,0,0.005,0.004,0.007,0.007,0.014,0.014,0.013,0.012,0.013,0.005,0.004,0.005
393,0,0.005,0.004,0.007,0.007,0.014,0.013,0.013,0.012,0.013,0.005,0.004,0.005
394,0,0.005,0.004,0.007,0.007,0.013,0.013,0.013,0.012,0.013,0.005,0.004,0.005
395,0,0.005,0.004,0.007,0.006,0.013,0.013,0.013,0.012,0.013,0.005,0.004,0.005
396,0,0.005,0.004,0.007,0.006,0.013,0.013,0.013,0.012,0.013,0.005,0.004,0.005
397,0,0.005,0.004,0.007,0.006,0.013,0.013,0.012,0.011,0.013,0.005,0.004,0.005
398,0,0.004,0.004,0.006,0.006,0.013,0.012,0.012,0.011,0.012,0.005,0.004,0.005
399,0,0.005,0.004,0.006,0.006,0.012,0.012,0.012,0.011,0.012,0.005,0.004,0.005
400,0,0.005,0.004,0.006,0.006,0.012,0.012,0.012,0.011,0.012,0.005,0.004,0.005
401,0,0.005,0.004,0.006,0.006,0.012,0.012,0.012,0.011,0.012,0.005,0.004,0.005
402,0,0.004,0.004,0.006,0.006,0.012,0.012,0.012,0.011,0.012,0.005,0.004,0.005
403,0,0.004,0.004,0.006,0.006,0.012,0.012,0.011,0.011,0.012,0.005,0.003,0.004
404,0,0.004,0.004,0.006,0.006,0.012,0.011,0.011,0.01,0.011,0.004,0.003,0.004
405,0,0.004,0.003,0.006,0.005,0.011,0.011,0.011,0.01,0.011,0.004,0.003,0.004
406,0,0.004,0.003,0.006,0.005,0.011,0.011,0.011,0.01,0.011,0.004,0.003,0.004
407,0,0.004,0.004,0.006,0.005,0.011,0.011,0.011,0.01,0.011,0.004,0.003,0.004
408,0,0.004,0.003,0.006,0.005,0.011,0.011,0.011,0.01,0.011,0.004,0.003,0.004
409,0,0.004,0.003,0.006,0.005,0.011,0.011,0.011,0.01,0.011,0.004,0.003,0.004
410,0,0.004,0.003,0.006,0.005,0.011,0.011,0.01,0.01,0.01,0.004,0.003,0.004
411,0,0.004,0.003,0.006,0.005,0.011,0.011,0.01,0.01,0.01,0.004,0.003,0.004
412,0,0.004,0.003,0.006,0.005,0.011,0.01,0.01,0.009,0.01,0.004,0.003,0.004
413,0,0.004,0.003,0.006,0.005,0.01,0.01,0.01,0.009,0.01,0.004,0.003,0.004
414,0,0.004,0.003,0.006,0.005,0.01,0.01,0.01,0.009,0.01,0.004,0.003,0.004
415,0,0.004,0.003,0.006,0.005,0.01,0.01,0.01,0.009,0.01,0.004,0.003,0.004
416,0,0.004,0.003,0.005,0.005,0.01,0.01,0.01,0.009,0.01,0.004,0.003,0.004
417,0,0.003,0.003,0.005,0.005,0.01,0.01,0.009,0.009,0.01,0.004,0.003,0.004
418,0,0.003,0.003,0.005,0.005,0.01,0.01,0.009,0.009,0.01,0.004,0.003,0.003
419,0,0.003,0.003,0.005,0.005,0.01,0.01,0.009,0.009,0.009,0.004,0.003,0.003
420,0,0.003,0.003,0.005,0.004,0.01,0.009,0.009,0.008,0.009,0.003,0.002,0.003
421,0,0.003,0.003,0.005,0.004,0.009,0.009,0.009,0.008,0.009,0.003,0.002,0.003
422,0,0.003,0.003,0.005,0.004,0.009,0.009,0.009,0.008,0.009,0.003,0.002,0.003
423,0,0.003,0.003,0.005,0.004,0.009,0.009,0.009,0.008,0.009,0.003,0.002,0.003
424,0,0.003,0.003,0.005,0.004,0.009,0.009,0.009,0.008,0.009,0.003,0.002,0.003
425,0,0.003,0.003,0.005,0.004,0.009,0.009,0.009,0.008,0.009,0.003,0.002,0.003
426,0,0.003,0.003,0.005,0.004,0.009,0.009,0.008,0.008,0.009,0.003,0.002,0.003
427,0,0.003,0.003,0.005,0.004,0.009,0.009,0.008,0.008,0.009,0.003,0.002,0.003
428,0,0.003,0.002,0.004,0.004,0.009,0.008,0.008,0.008,0.008,0.003,0.002,0.003
429,0,0.003,0.002,0.004,0.004,0.008,0.008,0.008,0.008,0.008,0.003,0.002,0.003
430,0,0.003,0.002,0.004,0.004,0.008,0.008,0.008,0.007,0.008,0.003,0.002,0.003
431,0,0.003,0.002,0.004,0.004,0.008,0.008,0.008,0.007,0.008,0.003,0.002,0.003
432,0,0.003,0.002,0.004,0.004,0.008,0.008,0.008,0.007,0.008,0.003,0.002,0.003
433,0,0.003,0.002,0.004,0.004,0.008,0.008,0.008,0.007,0.008,0.003,0.002,0.003
434,0,0.003,0.002,0.004,0.004,0.008,0.008,0.008,0.007,0.008,0.003,0.002,0.003
