Wavelength nm.,MilliQ,CC2_16apr25_BOTR1,C50_16apr25_9R1,C50_16apr25_15R1,CC4_16apr25_15R1,CC4_16apr25_01R1,C50_16apr25_01R1,CC2_16apr25_BOTR2,CC4_16apr25_9R1,CC4_16apr25_6R1,CC4_16apr25_BOTR1
455,0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
456,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
457,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
458,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
459,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
460,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
461,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
462,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
463,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
464,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
465,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
466,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
467,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
468,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
469,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
470,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
471,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001
472,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
473,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
474,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
475,0,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.001
476,0,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.001
477,0,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.001
478,0,0.001,0.001,0,0,0,0.001,0,0.001,0.001,0
479,0,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.001
480,0,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.001
481,0,0.001,0.001,0,0,0,0.001,0,0.001,0.001,0.001
482,0,0.001,0.001,0,0,0,0.001,0,0.001,0.001,0
483,0,0,0.001,0,0,0,0.001,0,0.001,0,0
484,0,0,0.001,0,0,0,0.001,0,0.001,0,0
485,0,0,0.001,0,0,0,0.001,0,0.001,0,0
486,0,0,0.001,0,0,0,0.001,0,0.001,0,0
487,0,0,0.001,0,0,0,0.001,0,0,0,0
488,0,0,0.001,0,0,0,0.001,0,0,0,0
489,0,0,0.001,0,0,0,0.001,0,0.001,0,0
490,0,0,0.001,0,0,0,0.001,0,0.001,0,0
491,0,0,0.001,0,0,0,0.001,0,0.001,0,0
