Wavelength nm.,MilliQ,C50_11jul24_6R2,C50_11jul24_20R2,C50_15aug24_15R2,C50_11jul24_01R1,C50_16sep24_6R2,C50_16sep24_01R1,C50_11jul24_15R1,C50_16sep24_15R1,C50_15aug24_6R2,C50_16sep24_9R1,C50_15aug24_01R2,C50_15aug24_20R2,C50_16sep24_20R1,C50_11jul24_9R1,C50_15aug24_9R2
290,0.001,0.03,0.037,0.022,0.026,0.021,0.024,0.023,0.02,0.024,0.02,0.019,0.037,0.039,0.027,0.025
291,0.001,0.029,0.036,0.021,0.025,0.02,0.023,0.022,0.02,0.023,0.02,0.019,0.037,0.038,0.026,0.025
292,0.001,0.029,0.036,0.021,0.025,0.019,0.022,0.021,0.019,0.023,0.02,0.018,0.036,0.037,0.025,0.024
293,0,0.028,0.035,0.02,0.024,0.019,0.022,0.021,0.018,0.022,0.019,0.017,0.035,0.036,0.024,0.024
294,0.001,0.027,0.035,0.02,0.024,0.018,0.021,0.02,0.018,0.022,0.018,0.017,0.034,0.036,0.024,0.023
295,0.001,0.027,0.034,0.019,0.023,0.018,0.021,0.02,0.018,0.021,0.018,0.017,0.034,0.035,0.024,0.023
296,0.001,0.026,0.033,0.019,0.023,0.017,0.02,0.019,0.017,0.021,0.018,0.016,0.033,0.034,0.023,0.022
297,0.001,0.025,0.033,0.018,0.022,0.016,0.019,0.019,0.016,0.02,0.017,0.016,0.032,0.034,0.022,0.022
298,0.001,0.025,0.032,0.018,0.022,0.016,0.019,0.018,0.016,0.02,0.017,0.015,0.031,0.033,0.022,0.021
299,0.001,0.024,0.032,0.017,0.021,0.016,0.019,0.018,0.015,0.019,0.017,0.015,0.031,0.032,0.021,0.021
300,0.001,0.024,0.031,0.017,0.021,0.015,0.018,0.017,0.015,0.019,0.016,0.014,0.03,0.032,0.021,0.02
301,0.001,0.023,0.031,0.016,0.02,0.015,0.018,0.017,0.014,0.018,0.016,0.014,0.029,0.031,0.021,0.02
302,0.001,0.023,0.03,0.016,0.02,0.014,0.017,0.016,0.014,0.018,0.015,0.014,0.029,0.03,0.02,0.02
303,0.001,0.022,0.03,0.016,0.019,0.014,0.017,0.016,0.014,0.017,0.015,0.013,0.028,0.03,0.02,0.019
304,0.001,0.022,0.029,0.015,0.019,0.014,0.016,0.015,0.013,0.017,0.015,0.013,0.028,0.029,0.019,0.019
305,0.001,0.021,0.029,0.015,0.018,0.013,0.016,0.015,0.013,0.017,0.014,0.013,0.027,0.028,0.019,0.018
306,0.001,0.021,0.028,0.015,0.018,0.013,0.015,0.015,0.013,0.016,0.014,0.012,0.026,0.028,0.019,0.018
307,0.001,0.02,0.028,0.014,0.018,0.013,0.015,0.014,0.012,0.016,0.014,0.012,0.026,0.027,0.018,0.018
308,0,0.02,0.027,0.014,0.017,0.013,0.014,0.014,0.012,0.016,0.014,0.012,0.026,0.027,0.018,0.017
