Wavelength nm.,MilliQ,CC4_17dec24_9R2,CC3_17dec24_01R1,C50_17dec24_6R1,C50_17dec24_01R1,CC4_17dec24_9R1,CC2_17feb25_BOTR1,CP2_17feb25_BOTR1,CC4_17feb25_BOTR2,CS2_17feb25_01R1
442,0,0.002,0.006,0.002,0.003,0.002,0.003,0.006,0.004,0.003
443,0,0.002,0.006,0.002,0.003,0.002,0.003,0.006,0.003,0.003
444,0,0.001,0.006,0.002,0.003,0.002,0.003,0.006,0.003,0.003
445,0,0.002,0.006,0.002,0.003,0.002,0.003,0.006,0.003,0.003
446,0,0.001,0.006,0.001,0.002,0.002,0.003,0.006,0.003,0.003
447,0,0.001,0.006,0.002,0.002,0.002,0.003,0.006,0.003,0.003
448,0,0.001,0.006,0.001,0.002,0.002,0.003,0.006,0.003,0.003
449,0,0.001,0.006,0.001,0.002,0.002,0.003,0.006,0.003,0.002
450,0,0.001,0.006,0.001,0.002,0.002,0.003,0.006,0.003,0.003
451,0,0.001,0.006,0.001,0.002,0.002,0.003,0.005,0.003,0.003
452,0,0.001,0.005,0.001,0.002,0.002,0.003,0.005,0.003,0.003
453,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.003
454,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
455,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
456,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
457,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
458,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
459,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
460,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
461,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
462,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
463,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
464,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
465,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
466,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
467,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
468,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
469,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
470,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
471,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
472,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
473,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
474,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.002,0.002
475,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.002,0.002
476,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.003,0.002
477,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.002,0.002
478,0,0.001,0.005,0.001,0.002,0.002,0.002,0.004,0.002,0.002
479,0,0.001,0.005,0.001,0.002,0.002,0.002,0.004,0.002,0.002
480,0,0.001,0.005,0.001,0.002,0.002,0.002,0.005,0.002,0.002
481,0,0.001,0.005,0.001,0.002,0.002,0.002,0.004,0.002,0.002
482,0,0.001,0.005,0.001,0.002,0.002,0.002,0.004,0.002,0.002
483,0,0.001,0.005,0.001,0.002,0.002,0.002,0.004,0.002,0.002
484,0,0.001,0.005,0.001,0.002,0.002,0.002,0.004,0.002,0.002
485,0,0.001,0.005,0.001,0.002,0.001,0.002,0.004,0.002,0.002
486,0,0.001,0.005,0.001,0.002,0.001,0.002,0.004,0.002,0.002
487,0,0.001,0.005,0.001,0.002,0.001,0.002,0.004,0.002,0.002
488,0,0.001,0.005,0.001,0.002,0.001,0.002,0.004,0.002,0.001
489,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
490,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
491,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
492,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
493,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
494,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
495,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
496,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
497,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
498,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
499,0,0,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
500,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.002
501,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
502,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
503,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
504,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
505,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
506,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
507,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
508,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
509,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
510,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
511,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
512,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
513,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
514,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
515,0,0.001,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.001
