Wavelenght,MilliQ,C100cove_1jun23_surf_r2,C50_1jun23_1_5m_r1,C50_1jun23_0_1m_r2,C301_4may23_0_1m_r1,C301cove_4may23_PD_r1,C50_4may23_0_1m_r1,C50_1jun23_0_1m_r1,C50_4may23_9m_r2,C100_1jun23_bot_r2,C301cove_4may23_0_1m_r2
332,-0.003,0.009,0.01,0.009,0.008,0.021,0.014,0.009,0.014,0.009,0.016
333,-0.003,0.009,0.01,0.009,0.007,0.021,0.013,0.009,0.013,0.009,0.016
334,-0.003,0.009,0.01,0.009,0.007,0.021,0.013,0.008,0.013,0.009,0.015
335,-0.003,0.009,0.01,0.009,0.007,0.021,0.013,0.008,0.013,0.009,0.015
336,-0.003,0.009,0.01,0.008,0.007,0.02,0.012,0.008,0.013,0.009,0.015
337,-0.003,0.008,0.009,0.008,0.007,0.02,0.012,0.008,0.013,0.009,0.015
338,-0.003,0.008,0.009,0.008,0.007,0.02,0.012,0.008,0.012,0.008,0.014
339,-0.003,0.008,0.009,0.008,0.007,0.02,0.012,0.008,0.013,0.008,0.014
340,-0.002,0.009,0.01,0.009,0.008,0.021,0.013,0.009,0.013,0.009,0.015
341,-0.003,0.008,0.009,0.008,0.007,0.019,0.012,0.007,0.012,0.008,0.014
342,-0.003,0.007,0.008,0.007,0.006,0.019,0.011,0.007,0.011,0.007,0.013
343,-0.003,0.007,0.009,0.007,0.006,0.019,0.011,0.007,0.011,0.007,0.014
344,-0.003,0.007,0.008,0.008,0.006,0.018,0.011,0.007,0.011,0.007,0.013
345,-0.003,0.007,0.008,0.007,0.006,0.019,0.011,0.007,0.011,0.007,0.013
346,-0.003,0.007,0.008,0.007,0.006,0.018,0.01,0.006,0.011,0.007,0.012
347,-0.003,0.007,0.008,0.007,0.006,0.018,0.01,0.006,0.011,0.007,0.012
348,-0.003,0.006,0.008,0.006,0.006,0.018,0.01,0.006,0.01,0.007,0.012
349,-0.003,0.007,0.008,0.007,0.006,0.018,0.01,0.006,0.011,0.007,0.012
350,-0.003,0.007,0.007,0.007,0.006,0.018,0.01,0.006,0.01,0.006,0.012
351,-0.003,0.006,0.007,0.007,0.005,0.018,0.01,0.006,0.01,0.006,0.012
352,-0.003,0.006,0.007,0.006,0.006,0.017,0.01,0.006,0.01,0.006,0.012
353,-0.002,0.006,0.007,0.006,0.006,0.017,0.01,0.006,0.01,0.006,0.012
354,-0.002,0.006,0.007,0.006,0.006,0.017,0.009,0.006,0.009,0.006,0.011
355,-0.003,0.006,0.007,0.006,0.006,0.017,0.009,0.006,0.009,0.006,0.011
356,-0.003,0.006,0.007,0.005,0.005,0.017,0.009,0.006,0.009,0.006,0.011
357,-0.002,0.006,0.007,0.006,0.005,0.017,0.009,0.006,0.009,0.006,0.011
358,-0.003,0.006,0.006,0.006,0.005,0.017,0.009,0.005,0.009,0.005,0.011
359,-0.003,0.005,0.006,0.005,0.005,0.016,0.009,0.005,0.009,0.005,0.01
360,-0.002,0.005,0.006,0.005,0.005,0.016,0.009,0.005,0.009,0.005,0.01
361,-0.002,0.006,0.006,0.005,0.005,0.016,0.009,0.006,0.009,0.006,0.011
362,-0.002,0.005,0.006,0.005,0.005,0.016,0.009,0.005,0.009,0.005,0.01
363,-0.002,0.005,0.006,0.005,0.005,0.016,0.009,0.005,0.009,0.005,0.01
364,-0.002,0.005,0.006,0.006,0.005,0.016,0.009,0.005,0.009,0.005,0.01
365,-0.002,0.005,0.006,0.005,0.005,0.016,0.008,0.005,0.009,0.005,0.01
366,-0.002,0.005,0.006,0.005,0.005,0.016,0.008,0.005,0.008,0.005,0.01
367,-0.002,0.005,0.006,0.005,0.005,0.016,0.008,0.005,0.008,0.005,0.01
368,-0.002,0.005,0.006,0.005,0.005,0.015,0.008,0.005,0.008,0.005,0.01
369,-0.002,0.005,0.006,0.005,0.005,0.015,0.008,0.005,0.008,0.005,0.009
370,-0.002,0.005,0.006,0.005,0.005,0.015,0.008,0.005,0.008,0.005,0.009
371,-0.002,0.005,0.005,0.005,0.005,0.015,0.008,0.004,0.008,0.004,0.009
372,-0.002,0.005,0.005,0.005,0.005,0.015,0.007,0.004,0.008,0.004,0.009
373,-0.002,0.004,0.005,0.004,0.004,0.015,0.007,0.004,0.008,0.004,0.009
374,-0.002,0.005,0.005,0.005,0.005,0.015,0.007,0.004,0.008,0.004,0.009
375,-0.002,0.004,0.005,0.005,0.005,0.015,0.007,0.004,0.007,0.004,0.009
376,-0.002,0.004,0.005,0.004,0.005,0.014,0.007,0.004,0.007,0.004,0.008
377,-0.002,0.004,0.005,0.004,0.004,0.014,0.007,0.004,0.007,0.004,0.008
378,-0.002,0.004,0.005,0.004,0.004,0.014,0.007,0.004,0.007,0.004,0.008
379,-0.002,0.004,0.005,0.004,0.004,0.014,0.007,0.004,0.007,0.004,0.008
380,-0.002,0.004,0.005,0.004,0.004,0.014,0.007,0.004,0.007,0.004,0.008
381,-0.002,0.004,0.005,0.004,0.004,0.014,0.007,0.004,0.007,0.004,0.008
382,-0.002,0.004,0.005,0.004,0.004,0.014,0.006,0.003,0.006,0.004,0.008
383,-0.002,0.004,0.004,0.004,0.004,0.014,0.006,0.004,0.006,0.004,0.007
384,-0.002,0.004,0.005,0.004,0.004,0.013,0.006,0.003,0.006,0.003,0.007
385,-0.002,0.004,0.004,0.004,0.004,0.013,0.006,0.003,0.006,0.003,0.007
386,-0.002,0.004,0.004,0.004,0.004,0.013,0.006,0.003,0.006,0.003,0.007
387,-0.002,0.004,0.004,0.004,0.004,0.013,0.006,0.003,0.006,0.003,0.007
388,-0.002,0.003,0.004,0.004,0.004,0.013,0.006,0.003,0.006,0.003,0.007
389,-0.001,0.003,0.004,0.004,0.004,0.013,0.006,0.003,0.006,0.003,0.007
390,-0.002,0.003,0.004,0.003,0.004,0.013,0.006,0.003,0.006,0.003,0.007
391,-0.002,0.003,0.004,0.004,0.004,0.013,0.006,0.003,0.006,0.003,0.007
392,-0.002,0.003,0.004,0.003,0.004,0.013,0.006,0.003,0.006,0.003,0.007
393,-0.002,0.003,0.004,0.003,0.004,0.013,0.005,0.003,0.005,0.003,0.007
394,-0.002,0.003,0.004,0.003,0.004,0.013,0.005,0.003,0.005,0.003,0.006
395,-0.002,0.003,0.004,0.003,0.004,0.012,0.005,0.003,0.005,0.003,0.006
396,-0.002,0.003,0.004,0.003,0.004,0.012,0.005,0.003,0.005,0.003,0.006
397,-0.001,0.003,0.004,0.003,0.004,0.012,0.005,0.003,0.005,0.003,0.006
398,-0.002,0.003,0.004,0.003,0.004,0.012,0.005,0.003,0.005,0.003,0.006
399,-0.001,0.003,0.004,0.003,0.004,0.012,0.005,0.003,0.005,0.003,0.006
400,-0.001,0.003,0.004,0.003,0.004,0.012,0.005,0.003,0.005,0.003,0.006
401,-0.001,0.003,0.004,0.003,0.004,0.012,0.005,0.002,0.005,0.003,0.006
402,-0.001,0.003,0.003,0.003,0.004,0.012,0.005,0.002,0.005,0.003,0.006
403,-0.001,0.003,0.003,0.003,0.004,0.012,0.005,0.002,0.005,0.002,0.006
404,-0.001,0.003,0.003,0.003,0.004,0.012,0.005,0.002,0.005,0.002,0.006
405,-0.002,0.003,0.003,0.003,0.004,0.012,0.005,0.002,0.005,0.002,0.006
406,-0.001,0.003,0.003,0.003,0.004,0.012,0.005,0.002,0.005,0.002,0.006
407,-0.001,0.003,0.003,0.003,0.004,0.012,0.005,0.002,0.005,0.002,0.006
408,-0.001,0.003,0.003,0.003,0.004,0.012,0.005,0.002,0.005,0.002,0.005
409,-0.001,0.002,0.003,0.003,0.004,0.012,0.005,0.002,0.005,0.002,0.005
410,-0.001,0.002,0.003,0.003,0.003,0.011,0.005,0.002,0.004,0.002,0.005
411,-0.001,0.002,0.003,0.003,0.003,0.011,0.005,0.002,0.004,0.002,0.005
412,-0.001,0.002,0.003,0.003,0.003,0.011,0.005,0.002,0.004,0.002,0.005
413,-0.001,0.002,0.003,0.003,0.003,0.011,0.004,0.002,0.004,0.002,0.005
414,-0.001,0.002,0.003,0.003,0.003,0.011,0.004,0.002,0.004,0.002,0.005
415,-0.001,0.002,0.003,0.003,0.004,0.011,0.005,0.002,0.004,0.002,0.005
416,-0.001,0.002,0.003,0.003,0.003,0.011,0.004,0.002,0.004,0.002,0.005
417,-0.001,0.002,0.003,0.003,0.003,0.011,0.004,0.002,0.004,0.002,0.005
418,-0.001,0.002,0.003,0.003,0.003,0.011,0.004,0.002,0.004,0.002,0.005
419,-0.001,0.002,0.003,0.003,0.003,0.011,0.004,0.002,0.004,0.002,0.005
420,-0.001,0.002,0.003,0.003,0.003,0.011,0.004,0.002,0.004,0.002,0.005
421,-0.001,0.002,0.003,0.003,0.003,0.011,0.004,0.002,0.004,0.002,0.005
422,-0.001,0.002,0.003,0.002,0.003,0.011,0.004,0.002,0.004,0.002,0.005
423,-0.001,0.002,0.003,0.002,0.003,0.011,0.004,0.002,0.004,0.002,0.005
424,-0.001,0.002,0.003,0.002,0.003,0.011,0.004,0.002,0.004,0.002,0.005
425,-0.001,0.002,0.003,0.002,0.003,0.011,0.004,0.002,0.004,0.002,0.005
426,-0.001,0.002,0.003,0.002,0.003,0.011,0.004,0.002,0.004,0.002,0.005
427,-0.001,0.002,0.003,0.002,0.003,0.011,0.004,0.002,0.004,0.002,0.005
428,-0.001,0.002,0.003,0.002,0.003,0.011,0.004,0.002,0.004,0.002,0.005
429,-0.001,0.002,0.003,0.002,0.003,0.01,0.004,0.002,0.004,0.001,0.004
430,-0.001,0.002,0.003,0.002,0.003,0.01,0.004,0.002,0.004,0.001,0.004
431,-0.001,0.002,0.003,0.002,0.003,0.01,0.004,0.002,0.004,0.001,0.004
432,-0.001,0.002,0.002,0.002,0.003,0.01,0.004,0.002,0.003,0.001,0.004
433,-0.001,0.002,0.002,0.002,0.003,0.01,0.004,0.002,0.003,0.001,0.004
434,-0.001,0.002,0.002,0.002,0.003,0.01,0.004,0.002,0.004,0.002,0.004
435,-0.001,0.002,0.002,0.002,0.003,0.01,0.004,0.002,0.004,0.001,0.004
436,-0.001,0.002,0.003,0.002,0.003,0.01,0.004,0.002,0.003,0.001,0.004
437,-0.001,0.002,0.002,0.002,0.003,0.01,0.004,0.002,0.003,0.001,0.004
438,-0.001,0.002,0.002,0.002,0.003,0.01,0.004,0.002,0.003,0.001,0.004
439,-0.001,0.002,0.002,0.002,0.003,0.01,0.004,0.002,0.003,0.001,0.004
440,-0.001,0.002,0.002,0.002,0.003,0.01,0.004,0.002,0.003,0.001,0.004
441,-0.001,0.002,0.002,0.002,0.003,0.01,0.004,0.002,0.003,0.001,0.004
