Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
501.00	0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
502.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
503.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
504.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
505.00	0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
506.00	0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
507.00	0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
508.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
509.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
510.00	0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
511.00	0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
512.00	0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
513.00	0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
514.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
515.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
516.00	0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
517.00	0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
518.00	0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
519.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
520.00	0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
521.00	0.000	0.001	0.001	0.000	0.001	0.003	0.001	0.001
522.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
523.00	-0.000	0.001	0.001	0.000	0.001	0.002	0.001	0.001
524.00	-0.000	0.001	0.001	0.000	0.001	0.002	0.001	0.001
525.00	-0.000	0.001	0.001	0.000	0.001	0.002	0.001	0.001
526.00	-0.000	0.001	0.001	0.000	0.000	0.002	0.001	0.001
527.00	-0.000	0.001	0.001	0.000	0.000	0.002	0.001	0.001
528.00	-0.000	0.001	0.001	0.000	0.001	0.002	0.001	0.001
529.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.001	0.001
530.00	-0.000	0.001	0.001	0.000	0.000	0.002	0.001	0.001
531.00	-0.000	0.001	0.001	0.000	0.000	0.002	0.001	0.001
532.00	-0.000	0.001	0.001	0.000	0.000	0.002	0.001	0.001
533.00	-0.000	0.001	0.001	0.000	0.000	0.002	0.001	0.001
534.00	-0.000	0.001	0.001	0.000	0.000	0.002	0.001	0.001
535.00	0.000	0.001	0.001	0.001	0.001	0.002	0.001	0.001
536.00	0.001	0.002	0.002	0.002	0.002	0.003	0.002	0.002
537.00	0.000	0.001	0.001	0.000	0.001	0.002	0.001	0.001
538.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.001	0.001
539.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
540.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.001	0.001
541.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
542.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
543.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
544.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
545.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.001	0.001
546.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
547.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
548.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
549.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
550.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
551.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
552.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
553.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
554.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
555.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.001	0.001
556.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.000
557.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.001	0.000
558.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
559.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
560.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
561.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
562.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.001
563.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.000
564.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.000
565.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.000
566.00	-0.000	0.000	0.001	0.000	0.000	0.002	0.000	0.000
