Wavelength nm.,MilliQ,CC4_28oct24_6R1,C50_16apr25_6R1,CC3_16apr25_01_fridge2,C50_16apr25_20R1,CS1_16apr25_01_fridge2,CC3_16apr25_BOT_fridge2,CP1_16apr25_BOTR1
614,0,0,0.001,0,0,0.001,0,0
615,0,0,0.001,0,0,0.001,0,0
616,0,0,0.001,0,0,0.001,0,0
617,0,0,0,0,0,0.001,0,0
618,0,0,0.001,0,0,0.001,0,0
619,0,0,0,0,0,0.001,0,0
620,0,0,0,0,0,0.001,0,0
621,0,0,0,0,0,0.001,0,0
622,0,0,0.001,0,0,0.001,0,0
623,0,0,0,0,0,0.001,0,0
624,0,0,0.001,0,0,0.001,0,0
625,0,0,0,0,0,0.001,0,0
626,0,0,0,0,0,0.001,0,0
627,0,0,0,0,0,0.001,0,0
628,0,0,0,0,0,0.001,0,0
629,0,0,0,0,0,0.001,0,0
630,0,0,0.001,0,0,0.001,0,0
631,0,0,0,0,0,0.001,0,0
632,0,0,0,0,0,0.001,0,0
633,0,0,0,0,0,0.001,0,0
634,0,0,0.001,0,0,0.001,0,0
635,0,0,0.001,0,0,0.001,0,0
636,0,0,0,0,0,0.001,0,0
637,0,0,0,0,0,0.001,0,0
