Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...
839.00	0.000	0.000	0.000	0.002
840.00	0.000	-0.000	0.000	0.002
841.00	0.000	-0.000	0.000	0.002
842.00	0.000	-0.000	0.000	0.001
843.00	0.000	-0.000	0.000	0.001
844.00	0.000	-0.000	0.000	0.002
845.00	0.000	-0.000	0.000	0.002
846.00	0.000	0.000	0.000	0.002
847.00	0.000	0.000	0.000	0.002
848.00	0.000	0.000	0.000	0.002
849.00	0.000	0.000	0.000	0.002
850.00	0.000	-0.000	0.000	0.002
