Reservoir,Site,Depth_m,Date,Rep,Dilution,Sample Name,Max_FL_Ex ,Max_FL_Em ,Max_FL ,B,T,A,C,M,N,FI,BIX,HIX,T_B,T_M,T_N,T_C,A_T,A_C,A_M,M_C,C_N,a254_m,a350_m,FLAG,Notes_flag,TIME
CCR,50,1.5,6/30/2022,1,1,20230105_C30jun22_1_5m_r1.csv,300,300,3.580225697,0.067544593,0.074650004,0.159280995,0.066468594,0.073409581,0.072184622,1.495594118,0.711056982,3.050468753,1.105195862,1.016897293,1.034153844,1.123086851,2.13370376,2.396334636,2.169757576,1.104425058,0.920813776,,,,,
CCR,50,6,6/30/2022,2,1,20230105_C30jun22_6m_r2.csv,240,482,1.909547283,0.045598963,0.066427633,0.241260269,0.125004827,0.104279677,0.08989702,1.562623312,0.663158652,5.84584381,1.456779474,0.637014177,0.738930312,0.531400543,3.631926331,1.930007624,2.313588563,0.834205206,1.390533604,,,,,
CCR,50,9,6/30/2022,2,1,20230105_C30jun22_9m_r2.csv,310,310,3.641453883,0.075750668,0.082060796,0.187773538,0.073294917,0.239833373,0.120073645,1.452700919,0.701971045,2.853447063,1.083301295,0.342157536,0.683420546,1.119597367,2.288224663,2.561890309,0.782933314,3.272169244,0.610416357,,,,,
CCR,201,0.1,6/30/2022,1,1,20230105_C30jun22_CCS_r1.csv,300,300,4.969747617,0.031782515,0.045252835,0.18273486,0.111493949,0.080427387,0.063781075,1.631681856,0.621688057,6.288753747,1.423827981,0.562654544,0.709502535,0.405877043,4.038086505,1.638966611,2.272047723,0.721360997,1.748072591,,,,,
CCR,301,0.1,6/30/2022,2,1,20230105_C30jun22_SMB_r2.csv,300,300,10.15545754,0.034599764,0.043452617,0.149389805,0.090977821,0.065464719,0.050490296,1.510921425,0.553209419,5.080127908,1.255864538,0.663756263,0.860613238,0.477617695,3.437993264,1.642046417,2.28198956,0.719567892,1.801887258,,,,,
CCR,50,0.1,7/14/2022,2,1,20230106_C14jul22_0_1m_r2.csv,310,310,3.134358517,0.050045355,0.06136201,0.141349875,0.056934858,0.064496292,0.062588349,1.426962479,0.740466137,3.094883147,1.226127996,0.951403692,0.980406276,1.077758206,2.303540486,2.482659661,2.191596923,1.132808518,0.909671827,,,,,
CCR,50,1.5,7/14/2022,1,1,20230106_C14jul22_1_5m_r1.csv,300,300,2.508230954,0.077126435,0.069583129,0.147684104,0.059442266,0.068469443,0.066790891,1.472122272,0.758268179,2.598306522,0.902195585,1.016265449,1.041805676,1.17060021,2.122412519,2.48449654,2.156934512,1.151864615,0.889975645,,,,,
CCR,301,0.1,7/14/2022,1,1,20230106_C14jul22_SMB_r1.csv,300,300,4.202318333,0.021550042,0.036247884,0.184176327,0.114129361,0.074749864,0.05407191,1.506516114,0.533637585,7.909405906,1.682033135,0.484922409,0.670364417,0.317603499,5.081022799,1.613750622,2.463901816,0.654957357,2.11069594,,,,,
CCR,301,0.1,7/28/2022,2,1,20230106_C28aug22_SMB_r2.csv,315,314,3.676511461,0.140825194,0.135516998,0.227214841,0.134598378,0.168195052,0.1227443,1.497591376,0.610245197,3.051756839,0.962306491,0.805713346,1.104059404,1.006824896,1.67665196,1.688094935,1.35090086,1.249606825,1.096575391,,,,,
CCR,50,0.1,7/28/2022,1,1,20230106_C28jul22_0_1m_r1.csv,300,300,4.789474894,0.067904126,0.064718313,0.14279687,0.058098678,0.066472616,0.064287275,1.473630109,0.772769399,2.473970255,0.953083666,0.973608636,1.006704876,1.113937792,2.206436845,2.457833387,2.148205966,1.144133023,0.903735275,,,,,
CCR,50,1.5,7/28/2022,1,1,20230106_C28jul22_1_5_r1.csv,300,300,2.714821811,0.054133216,0.058302956,0.142014841,0.057924828,0.065495957,0.063960243,1.460885643,0.759490734,3.070622888,1.07702738,0.890176413,0.91154994,1.0065279,2.435808592,2.451709306,2.168299356,1.130706099,0.905638026,,,,,
CCR,50,6,7/28/2022,1,1,20230106_C28jul22_6m_r1.csv,300,300,3.781538158,0.057926818,0.070208017,0.210196718,0.102467819,0.094151384,0.080223618,1.563440716,0.703588451,4.150589807,1.21201232,0.745692886,0.875153957,0.685171382,2.993913323,2.051343728,2.232539867,0.918838565,1.277277452,,,,,
CCR,50,9,7/28/2022,1,1,20230106_C28jul22_9m_r1.csv,305,304,17.59271315,0.10803598,0.113511015,0.256423892,0.124560366,0.111238898,0.108021274,1.542726911,0.688387737,2.834454996,1.050677886,1.020425566,1.050820923,0.911293203,2.259022102,2.058631486,2.305163906,0.893052108,1.153109581,,,,,
CCR,50,20,7/28/2022,1,1,20230106_C28jul22_20m_r1.csv,300,300,12.81426375,0.062036069,0.078889687,0.323946975,0.159892551,0.137775622,0.109930964,1.488393697,0.630905866,5.077305168,1.271674493,0.572595395,0.717629356,0.493391882,4.106328581,2.026029185,2.351264837,0.8616763,1.454481484,,,,,
CCR,50,0.1,8/19/2022,2,1,20230125_C19aug22_0_1m_r2.csv,280,564,6.926901258,0.062981622,0.065861667,0.153438986,0.062791556,0.092893977,0.074898657,1.492330209,0.729869258,2.851688004,1.045728333,0.708998245,0.879343756,1.04889369,2.32971611,2.443624526,1.651764632,1.479402379,0.838353558,,,,,
CCR,50,1.5,8/19/2022,1,1,20230125_C19aug22_1_5m_r1.csv,300,300,4.094974324,0.059447628,0.069783994,0.153745078,0.0630246,0.073742484,0.070268262,1.429882222,0.760409899,2.865222088,1.173873481,0.946320089,0.993108308,1.107250105,2.20315675,2.439445542,2.084891493,1.170058754,0.896914169,,,,,
CCR,50,6,8/19/2022,1,1,20230125_C19aug22_6m_r1.csv,320,320,6.173961895,0.062257762,0.076942612,0.163508512,0.066809177,0.077626134,0.075877311,1.464972954,0.761636261,2.881445377,1.235871794,0.991194691,1.014039787,1.151677281,2.125070991,2.447395981,2.106359084,1.161908243,0.880489529,,,,,
CCR,50,9,8/19/2022,1,1,20230125_C19aug22_9m_r1.csv,300,300,5.148272029,0.048240778,0.068874307,0.238572611,0.11755995,0.107262026,0.087617113,1.510916937,0.697803801,5.02344056,1.427719647,0.64211268,0.786082817,0.585865399,3.463883999,2.029369782,2.224203839,0.912402787,1.341746446,,,,,
CCR,50,20,8/19/2022,2,1,20230125_C19aug22_20m_r2.csv,300,300,10.32225937,0.077552321,0.096046684,0.309570395,0.151535022,0.137167816,0.120001631,1.494897712,0.652242567,4.567976592,1.238475946,0.700212969,0.800378154,0.63382499,3.223124251,2.042896695,2.2568734,0.905188875,1.262774689,,,,,
CCR,201,0.1,8/19/2022,2,1,20230125_C19aug22_CCS_r2.csv,305,304,4.201650125,0.026043266,0.039208793,0.227326671,0.13275369,0.096895383,0.070552739,1.577357943,0.626105145,8.645557991,1.505525216,0.404650787,0.555737363,0.295349929,5.797849245,1.712394364,2.346104258,0.729888434,1.881623484,,,,,
