Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
505.00	0.000	0.001	0.002	0.002	0.001	0.001	0.004
506.00	0.000	0.001	0.002	0.002	0.001	0.001	0.004
507.00	0.000	0.001	0.002	0.002	0.001	0.001	0.004
508.00	0.000	0.001	0.002	0.002	0.001	0.001	0.004
509.00	0.000	0.001	0.002	0.002	0.001	0.001	0.004
510.00	0.000	0.001	0.002	0.002	0.001	0.001	0.004
511.00	0.000	0.001	0.002	0.002	0.001	0.001	0.004
512.00	0.000	0.001	0.002	0.002	0.001	0.001	0.004
513.00	-0.000	0.001	0.002	0.002	0.001	0.001	0.003
514.00	0.000	0.001	0.002	0.002	0.001	0.001	0.003
515.00	0.000	0.001	0.002	0.002	0.001	0.001	0.003
516.00	0.000	0.001	0.002	0.002	0.001	0.001	0.003
517.00	-0.000	0.001	0.002	0.002	0.001	0.001	0.003
518.00	0.000	0.001	0.002	0.002	0.001	0.001	0.003
519.00	0.000	0.001	0.002	0.002	0.001	0.001	0.003
520.00	0.000	0.001	0.002	0.002	0.001	0.001	0.003
521.00	0.000	0.001	0.002	0.002	0.001	0.001	0.003
522.00	0.000	0.001	0.002	0.002	0.001	0.001	0.003
523.00	0.000	0.001	0.002	0.002	0.001	0.001	0.003
524.00	-0.000	0.001	0.002	0.002	0.001	0.001	0.003
525.00	-0.000	0.001	0.002	0.002	0.001	0.001	0.003
526.00	-0.000	0.001	0.002	0.002	0.001	0.001	0.003
527.00	-0.000	0.001	0.002	0.002	0.001	0.001	0.003
528.00	-0.000	0.000	0.002	0.002	0.001	0.001	0.003
529.00	-0.000	0.000	0.002	0.002	0.001	0.001	0.003
530.00	-0.000	0.000	0.002	0.002	0.001	0.001	0.003
531.00	-0.000	0.000	0.002	0.002	0.001	0.001	0.003
532.00	-0.000	0.000	0.002	0.002	0.001	0.001	0.003
533.00	-0.000	0.000	0.002	0.002	0.001	0.001	0.003
534.00	-0.000	0.000	0.002	0.002	0.001	0.001	0.003
535.00	0.000	0.001	0.002	0.002	0.001	0.001	0.003
536.00	0.001	0.001	0.003	0.003	0.002	0.002	0.004
537.00	0.000	0.000	0.002	0.002	0.001	0.001	0.003
538.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
539.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
540.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
541.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
542.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
543.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
544.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
545.00	0.000	0.000	0.001	0.002	0.001	0.000	0.003
546.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
547.00	0.000	0.000	0.001	0.002	0.001	0.001	0.003
548.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
549.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
550.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
551.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
552.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
553.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
554.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
555.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
556.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
557.00	0.000	0.000	0.001	0.002	0.001	0.000	0.003
558.00	0.000	0.000	0.001	0.002	0.001	0.000	0.003
559.00	0.000	0.000	0.001	0.002	0.001	0.001	0.003
560.00	0.000	0.000	0.001	0.002	0.001	0.000	0.003
561.00	0.000	0.000	0.001	0.002	0.001	0.001	0.003
562.00	-0.000	0.000	0.001	0.001	0.001	0.000	0.003
563.00	-0.000	0.000	0.001	0.001	0.001	0.000	0.003
564.00	-0.000	0.000	0.001	0.001	0.001	0.000	0.003
565.00	-0.000	0.000	0.001	0.001	0.001	0.000	0.003
566.00	0.000	0.000	0.001	0.002	0.001	0.001	0.003
567.00	0.000	0.000	0.001	0.002	0.001	0.001	0.003
568.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
569.00	-0.000	0.000	0.001	0.002	0.001	0.001	0.003
570.00	-0.000	0.000	0.001	0.002	0.001	0.000	0.003
571.00	-0.000	0.000	0.001	0.001	0.001	0.000	0.003
572.00	-0.000	0.000	0.001	0.001	0.001	0.000	0.003
573.00	0.000	0.000	0.001	0.001	0.001	0.000	0.003
574.00	0.000	0.000	0.001	0.001	0.001	0.001	0.003
575.00	0.000	0.000	0.001	0.002	0.001	0.000	0.003
576.00	0.000	0.000	0.001	0.002	0.001	0.000	0.003
577.00	-0.000	0.000	0.001	0.001	0.001	0.001	0.003
578.00	-0.000	0.000	0.001	0.001	0.001	0.000	0.003
579.00	-0.000	0.000	0.001	0.001	0.001	0.001	0.003
580.00	-0.000	0.000	0.001	0.001	0.001	0.000	0.003
581.00	0.000	0.000	0.001	0.001	0.001	0.001	0.003
582.00	0.000	0.000	0.001	0.001	0.001	0.001	0.003
583.00	-0.000	0.000	0.001	0.002	0.001	0.001	0.003
584.00	-0.000	0.000	0.001	0.002	0.001	0.001	0.003
585.00	0.000	0.000	0.001	0.002	0.001	0.001	0.003
586.00	-0.000	0.000	0.001	0.001	0.001	0.000	0.003
587.00	-0.000	0.000	0.001	0.001	0.001	0.000	0.003
