Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
415.00	-0.000	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003
416.00	0.000	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003
417.00	-0.000	0.003	0.003	0.002	0.002	0.002	0.003	0.003	0.003	0.003	0.003
418.00	-0.000	0.003	0.003	0.002	0.002	0.002	0.003	0.003	0.002	0.003	0.003
419.00	-0.000	0.003	0.003	0.002	0.002	0.002	0.003	0.002	0.002	0.003	0.003
420.00	-0.000	0.003	0.003	0.002	0.002	0.002	0.003	0.003	0.002	0.003	0.003
421.00	-0.000	0.003	0.003	0.002	0.002	0.002	0.003	0.002	0.002	0.002	0.002
422.00	-0.000	0.003	0.003	0.002	0.002	0.002	0.003	0.002	0.002	0.002	0.002
423.00	-0.000	0.003	0.003	0.002	0.002	0.002	0.003	0.002	0.002	0.003	0.002
424.00	-0.000	0.003	0.003	0.002	0.002	0.002	0.003	0.002	0.002	0.002	0.002
425.00	-0.000	0.003	0.003	0.002	0.002	0.002	0.003	0.002	0.002	0.002	0.002
426.00	-0.000	0.002	0.003	0.002	0.002	0.002	0.003	0.002	0.002	0.002	0.002
427.00	-0.000	0.002	0.003	0.002	0.002	0.002	0.003	0.002	0.002	0.002	0.002
428.00	-0.000	0.002	0.002	0.002	0.002	0.002	0.003	0.002	0.002	0.002	0.002
429.00	-0.000	0.002	0.002	0.002	0.002	0.002	0.003	0.002	0.002	0.002	0.002
430.00	-0.000	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
431.00	-0.000	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
432.00	-0.000	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
433.00	-0.000	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
434.00	-0.000	0.002	0.002	0.002	0.001	0.002	0.002	0.002	0.002	0.002	0.002
435.00	-0.000	0.002	0.002	0.002	0.001	0.002	0.002	0.002	0.002	0.002	0.002
436.00	-0.000	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
437.00	-0.000	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
438.00	-0.000	0.002	0.002	0.001	0.001	0.001	0.002	0.002	0.002	0.002	0.002
439.00	-0.000	0.002	0.002	0.001	0.001	0.001	0.002	0.002	0.002	0.002	0.002
440.00	-0.000	0.002	0.002	0.001	0.001	0.001	0.002	0.001	0.002	0.002	0.002
441.00	-0.000	0.002	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0.002	0.001
442.00	-0.000	0.002	0.002	0.001	0.001	0.001	0.002	0.001	0.002	0.001	0.001
443.00	-0.000	0.002	0.002	0.001	0.001	0.001	0.002	0.001	0.002	0.001	0.001
444.00	-0.000	0.001	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001
445.00	-0.000	0.001	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001
446.00	-0.000	0.001	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001
447.00	-0.000	0.001	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001
448.00	-0.000	0.001	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001
449.00	-0.000	0.001	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001
450.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001
451.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001
452.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001
453.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001
454.00	-0.000	0.001	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001
455.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001
456.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
457.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
458.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
459.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
460.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
461.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
462.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
463.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
