Wavelength nm.,MilliQ,CP1_19jun24_BOTr1,CC2_19jun24_BOTr1,CP2_19jun24_BOTr2,CC1_19jun24_01r1,CC3_19jun24_15r1,CP2_19jun24_01r2,CP1_19jun24_01r2,CC3_19jun24_BOTr1,CS2_19un24_01r1,CS1_19jun24_01r1,CC3_19jun24_01r2,CC1_19jun24_BOTr1,CC4_19jun24_15r1,CC3_19jun24_15r2,CC2_19jun24_BOTr2
331,0,0.025,0.014,0.024,0.012,0.011,0.019,0.024,0.016,0.017,0.023,0.011,0.013,0.01,0.01,0.013
332,0,0.024,0.014,0.024,0.012,0.011,0.019,0.023,0.016,0.017,0.022,0.011,0.013,0.01,0.01,0.013
333,0,0.024,0.014,0.024,0.012,0.011,0.019,0.023,0.016,0.017,0.022,0.011,0.013,0.011,0.01,0.013
334,0,0.024,0.014,0.023,0.012,0.01,0.018,0.022,0.016,0.016,0.022,0.01,0.013,0.01,0.01,0.012
335,0,0.023,0.014,0.023,0.012,0.01,0.018,0.022,0.016,0.016,0.022,0.01,0.013,0.01,0.01,0.012
336,0,0.023,0.013,0.023,0.011,0.01,0.018,0.022,0.016,0.015,0.021,0.01,0.013,0.01,0.009,0.012
337,0,0.023,0.013,0.023,0.011,0.01,0.017,0.022,0.015,0.015,0.021,0.01,0.012,0.009,0.009,0.012
338,0,0.022,0.012,0.022,0.011,0.009,0.017,0.021,0.015,0.015,0.021,0.01,0.012,0.009,0.009,0.011
339,0,0.023,0.013,0.022,0.011,0.01,0.017,0.021,0.015,0.015,0.021,0.01,0.012,0.01,0.009,0.012
340,0.001,0.023,0.014,0.023,0.012,0.01,0.018,0.022,0.016,0.016,0.021,0.01,0.013,0.01,0.009,0.012
341,0,0.021,0.012,0.021,0.01,0.009,0.016,0.02,0.014,0.015,0.02,0.009,0.011,0.008,0.008,0.011
342,0,0.021,0.012,0.021,0.01,0.009,0.016,0.02,0.014,0.014,0.019,0.009,0.011,0.008,0.008,0.011
343,-0.001,0.021,0.012,0.021,0.01,0.009,0.016,0.019,0.014,0.014,0.019,0.009,0.011,0.008,0.008,0.011
344,-0.001,0.021,0.012,0.021,0.01,0.009,0.015,0.019,0.013,0.014,0.019,0.009,0.011,0.008,0.007,0.01
345,-0.001,0.02,0.011,0.02,0.009,0.008,0.015,0.019,0.013,0.013,0.019,0.008,0.01,0.008,0.007,0.01
346,0,0.02,0.011,0.02,0.009,0.008,0.015,0.019,0.013,0.013,0.018,0.008,0.01,0.008,0.007,0.01
347,0,0.02,0.011,0.02,0.01,0.008,0.015,0.019,0.013,0.013,0.019,0.008,0.01,0.008,0.008,0.01
348,-0.001,0.02,0.011,0.019,0.009,0.008,0.014,0.018,0.013,0.013,0.018,0.008,0.01,0.008,0.007,0.009
349,-0.001,0.019,0.011,0.019,0.009,0.007,0.014,0.018,0.013,0.013,0.018,0.007,0.01,0.007,0.007,0.009
350,0,0.019,0.011,0.019,0.009,0.008,0.014,0.018,0.013,0.013,0.018,0.008,0.01,0.007,0.007,0.009
351,0,0.019,0.011,0.019,0.009,0.007,0.014,0.018,0.013,0.013,0.017,0.008,0.01,0.007,0.007,0.009
352,0,0.019,0.01,0.019,0.009,0.007,0.014,0.017,0.012,0.012,0.017,0.008,0.009,0.007,0.007,0.009
353,0,0.018,0.01,0.018,0.009,0.007,0.014,0.017,0.012,0.012,0.017,0.007,0.009,0.007,0.007,0.009
354,0,0.018,0.01,0.018,0.008,0.007,0.013,0.017,0.012,0.012,0.017,0.007,0.009,0.007,0.006,0.009
355,0,0.018,0.01,0.018,0.008,0.007,0.013,0.017,0.012,0.012,0.016,0.007,0.009,0.007,0.006,0.009
356,0,0.018,0.01,0.018,0.008,0.007,0.013,0.016,0.012,0.012,0.016,0.007,0.009,0.007,0.006,0.008
357,0,0.017,0.01,0.017,0.008,0.007,0.013,0.016,0.011,0.011,0.016,0.007,0.008,0.006,0.006,0.008
358,0,0.017,0.009,0.017,0.008,0.006,0.012,0.016,0.011,0.011,0.015,0.007,0.008,0.006,0.006,0.008
359,0,0.017,0.01,0.017,0.008,0.007,0.012,0.016,0.011,0.011,0.015,0.007,0.008,0.006,0.006,0.008
360,0,0.017,0.009,0.017,0.007,0.007,0.012,0.016,0.011,0.011,0.015,0.006,0.008,0.006,0.006,0.008
361,0,0.016,0.009,0.017,0.007,0.006,0.012,0.015,0.011,0.011,0.015,0.006,0.008,0.006,0.006,0.008
362,0,0.016,0.009,0.016,0.007,0.006,0.012,0.015,0.011,0.011,0.015,0.006,0.007,0.006,0.005,0.007
363,0,0.016,0.009,0.016,0.007,0.006,0.012,0.015,0.01,0.01,0.015,0.006,0.007,0.006,0.005,0.007
364,0,0.016,0.008,0.016,0.007,0.006,0.011,0.014,0.01,0.01,0.014,0.006,0.007,0.005,0.005,0.007
365,0,0.016,0.008,0.016,0.007,0.006,0.011,0.014,0.01,0.01,0.014,0.006,0.007,0.005,0.005,0.007
366,0,0.015,0.008,0.016,0.007,0.006,0.011,0.014,0.01,0.01,0.014,0.006,0.007,0.005,0.005,0.007
367,0,0.015,0.008,0.016,0.007,0.006,0.011,0.014,0.01,0.01,0.014,0.006,0.007,0.005,0.005,0.007
368,-0.001,0.015,0.008,0.016,0.007,0.006,0.011,0.014,0.01,0.01,0.014,0.006,0.007,0.005,0.005,0.007
369,0,0.015,0.008,0.015,0.006,0.006,0.011,0.014,0.01,0.01,0.013,0.005,0.007,0.005,0.005,0.007
370,-0.001,0.015,0.008,0.015,0.006,0.005,0.01,0.013,0.009,0.009,0.013,0.005,0.007,0.005,0.004,0.006
371,-0.001,0.014,0.008,0.014,0.006,0.005,0.01,0.013,0.009,0.009,0.013,0.005,0.007,0.005,0.004,0.006
372,0,0.014,0.007,0.014,0.006,0.005,0.01,0.013,0.009,0.009,0.013,0.005,0.007,0.005,0.004,0.006
373,0,0.014,0.007,0.014,0.006,0.005,0.01,0.013,0.009,0.009,0.013,0.005,0.006,0.005,0.004,0.006
374,0,0.014,0.008,0.014,0.006,0.005,0.01,0.013,0.009,0.009,0.013,0.005,0.007,0.005,0.004,0.006
375,0,0.014,0.007,0.014,0.006,0.005,0.01,0.013,0.009,0.009,0.012,0.005,0.006,0.005,0.004,0.006
376,0,0.014,0.007,0.014,0.006,0.005,0.01,0.012,0.009,0.009,0.012,0.005,0.006,0.004,0.004,0.006
377,0,0.014,0.007,0.014,0.006,0.005,0.009,0.012,0.009,0.009,0.012,0.005,0.006,0.004,0.004,0.006
378,0,0.013,0.007,0.013,0.006,0.004,0.009,0.012,0.008,0.008,0.012,0.005,0.006,0.004,0.004,0.006
379,0,0.013,0.007,0.013,0.006,0.005,0.009,0.012,0.008,0.008,0.011,0.005,0.006,0.004,0.004,0.006
380,-0.001,0.013,0.007,0.013,0.005,0.004,0.009,0.012,0.008,0.008,0.011,0.005,0.005,0.004,0.004,0.005
381,0,0.013,0.007,0.013,0.005,0.004,0.009,0.012,0.008,0.008,0.012,0.005,0.006,0.004,0.004,0.006
382,0,0.012,0.006,0.013,0.005,0.004,0.009,0.011,0.008,0.008,0.011,0.004,0.005,0.004,0.004,0.005
383,0,0.012,0.006,0.012,0.005,0.004,0.008,0.011,0.008,0.008,0.011,0.004,0.005,0.004,0.004,0.005
384,0,0.012,0.006,0.012,0.005,0.004,0.008,0.011,0.008,0.008,0.011,0.004,0.005,0.004,0.004,0.005
385,0,0.012,0.006,0.012,0.005,0.004,0.008,0.011,0.008,0.007,0.011,0.004,0.005,0.004,0.003,0.005
386,0,0.012,0.006,0.012,0.005,0.004,0.008,0.011,0.008,0.007,0.011,0.004,0.005,0.004,0.003,0.005
387,0,0.012,0.006,0.012,0.005,0.004,0.008,0.011,0.008,0.007,0.011,0.004,0.005,0.004,0.003,0.005
388,0,0.011,0.006,0.012,0.005,0.004,0.008,0.01,0.007,0.007,0.01,0.004,0.005,0.004,0.003,0.005
