Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
360.00	0.000	0.016	0.012	0.009	0.010	0.009	0.012	0.009	0.010	0.012	0.009	0.009	0.008	0.010	0.011	0.012
361.00	0.000	0.016	0.012	0.009	0.009	0.009	0.012	0.009	0.010	0.012	0.008	0.009	0.007	0.009	0.011	0.011
362.00	0.000	0.016	0.012	0.009	0.010	0.009	0.012	0.008	0.010	0.012	0.008	0.009	0.007	0.009	0.011	0.011
363.00	0.000	0.016	0.012	0.009	0.009	0.009	0.012	0.008	0.010	0.012	0.008	0.009	0.007	0.009	0.011	0.011
364.00	-0.000	0.015	0.012	0.009	0.009	0.008	0.011	0.008	0.009	0.012	0.008	0.008	0.007	0.009	0.010	0.011
365.00	0.000	0.015	0.012	0.009	0.009	0.008	0.011	0.008	0.009	0.011	0.008	0.008	0.007	0.008	0.010	0.010
366.00	0.000	0.015	0.012	0.008	0.009	0.008	0.011	0.008	0.009	0.012	0.007	0.008	0.007	0.008	0.010	0.011
367.00	0.000	0.015	0.012	0.008	0.009	0.008	0.011	0.007	0.009	0.011	0.008	0.008	0.007	0.008	0.010	0.011
368.00	-0.000	0.014	0.011	0.008	0.009	0.008	0.011	0.007	0.009	0.011	0.007	0.008	0.006	0.008	0.010	0.010
369.00	-0.000	0.014	0.011	0.008	0.008	0.007	0.010	0.007	0.009	0.011	0.007	0.008	0.006	0.008	0.009	0.010
370.00	0.000	0.014	0.011	0.008	0.008	0.008	0.010	0.007	0.009	0.011	0.007	0.007	0.006	0.008	0.009	0.010
371.00	0.000	0.014	0.011	0.008	0.008	0.008	0.010	0.007	0.009	0.011	0.007	0.008	0.006	0.008	0.009	0.010
372.00	0.000	0.014	0.011	0.008	0.008	0.007	0.010	0.007	0.008	0.011	0.007	0.007	0.006	0.008	0.009	0.010
373.00	0.000	0.013	0.011	0.008	0.008	0.007	0.010	0.007	0.008	0.011	0.007	0.007	0.006	0.008	0.009	0.009
374.00	0.000	0.013	0.011	0.008	0.008	0.007	0.010	0.006	0.008	0.010	0.006	0.007	0.006	0.007	0.008	0.009
375.00	0.000	0.013	0.010	0.008	0.008	0.007	0.010	0.007	0.008	0.010	0.006	0.007	0.006	0.007	0.009	0.009
376.00	0.000	0.013	0.010	0.008	0.007	0.007	0.009	0.006	0.008	0.010	0.006	0.007	0.006	0.007	0.009	0.009
377.00	-0.000	0.012	0.010	0.007	0.007	0.007	0.009	0.006	0.008	0.010	0.006	0.007	0.005	0.007	0.008	0.009
378.00	0.000	0.012	0.010	0.007	0.007	0.007	0.009	0.006	0.008	0.010	0.006	0.007	0.005	0.007	0.008	0.009
379.00	0.000	0.012	0.010	0.007	0.007	0.006	0.009	0.006	0.008	0.010	0.006	0.007	0.005	0.007	0.008	0.009
380.00	0.000	0.012	0.010	0.007	0.007	0.006	0.009	0.006	0.007	0.010	0.006	0.006	0.005	0.007	0.008	0.009
381.00	0.000	0.012	0.010	0.007	0.007	0.006	0.009	0.006	0.007	0.009	0.006	0.006	0.005	0.007	0.008	0.008
382.00	0.000	0.012	0.010	0.007	0.007	0.006	0.008	0.006	0.007	0.009	0.006	0.006	0.005	0.006	0.008	0.008
383.00	0.000	0.011	0.009	0.007	0.007	0.006	0.008	0.005	0.007	0.009	0.005	0.006	0.005	0.006	0.008	0.008
