Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
447.00	-0.000	0.001	0.006	0.002	0.002	0.002	0.003	0.006	0.003	0.003
448.00	-0.000	0.001	0.006	0.001	0.002	0.002	0.003	0.006	0.003	0.003
449.00	-0.000	0.001	0.006	0.001	0.002	0.002	0.003	0.006	0.003	0.002
450.00	-0.000	0.001	0.006	0.001	0.002	0.002	0.003	0.006	0.003	0.003
451.00	-0.000	0.001	0.006	0.001	0.002	0.002	0.003	0.005	0.003	0.003
452.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.003	0.005	0.003	0.003
453.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.003
454.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
455.00	0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
456.00	0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
457.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
458.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
459.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
460.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
461.00	0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
462.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
463.00	0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
464.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
465.00	0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
466.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
467.00	0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
468.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
469.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
470.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
471.00	0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
472.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
473.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
474.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.002	0.002
475.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.002	0.002
476.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.003	0.002
477.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.002	0.002
478.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.004	0.002	0.002
479.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.004	0.002	0.002
480.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.005	0.002	0.002
481.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.004	0.002	0.002
482.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.004	0.002	0.002
483.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.004	0.002	0.002
484.00	-0.000	0.001	0.005	0.001	0.002	0.002	0.002	0.004	0.002	0.002
485.00	-0.000	0.001	0.005	0.001	0.002	0.001	0.002	0.004	0.002	0.002
486.00	-0.000	0.001	0.005	0.001	0.002	0.001	0.002	0.004	0.002	0.002
487.00	-0.000	0.001	0.005	0.001	0.002	0.001	0.002	0.004	0.002	0.002
488.00	-0.000	0.001	0.005	0.001	0.002	0.001	0.002	0.004	0.002	0.001
489.00	-0.000	0.001	0.004	0.001	0.002	0.001	0.001	0.004	0.002	0.001
490.00	-0.000	0.001	0.004	0.001	0.002	0.001	0.001	0.004	0.002	0.001
491.00	-0.000	0.001	0.004	0.001	0.002	0.001	0.001	0.004	0.002	0.001
492.00	-0.000	0.001	0.004	0.001	0.002	0.001	0.001	0.004	0.002	0.001
493.00	-0.000	0.001	0.004	0.001	0.002	0.001	0.001	0.004	0.002	0.001
494.00	-0.000	0.001	0.004	0.001	0.002	0.001	0.001	0.004	0.002	0.001
495.00	-0.000	0.001	0.004	0.001	0.002	0.001	0.001	0.004	0.002	0.001
496.00	-0.000	0.001	0.004	0.001	0.002	0.001	0.001	0.004	0.002	0.001
