Wavelength nm.,milliQ,CC4_16SEP24_01R2,CS1_16SEP24_01R2,CC3_16SEP24_15R1,CC2_16SEP24_01R2,CC4_16SEP24_15R2,CC4_16SEP24_15R1,CC2_16SEP24_01R1,CC4_16SEP24_9R1,CC3_16SEP24_01R1,CC4_16SEP24_6R1,CC3_16SEP24_BOTR2,CC4_16SEP24_BOTR1
386,0.001,0.004,0.012,0.004,0.02,0.004,0.004,0.012,0.006,0.006,0.006,0.005,0.006
387,0,0.004,0.011,0.004,0.02,0.004,0.004,0.012,0.006,0.005,0.005,0.005,0.006
388,0.001,0.004,0.011,0.004,0.019,0.004,0.003,0.012,0.006,0.005,0.005,0.005,0.006
389,0.001,0.004,0.011,0.004,0.019,0.004,0.003,0.012,0.006,0.005,0.005,0.005,0.006
390,0.001,0.004,0.011,0.004,0.019,0.004,0.003,0.011,0.005,0.005,0.005,0.005,0.006
391,0.001,0.004,0.011,0.004,0.019,0.004,0.003,0.011,0.005,0.005,0.005,0.004,0.006
392,0.001,0.004,0.011,0.004,0.019,0.004,0.003,0.011,0.005,0.005,0.005,0.004,0.006
393,0,0.004,0.01,0.003,0.018,0.004,0.003,0.011,0.005,0.005,0.005,0.004,0.006
394,0.001,0.004,0.01,0.004,0.018,0.004,0.003,0.011,0.005,0.005,0.005,0.004,0.006
395,0,0.004,0.01,0.004,0.018,0.004,0.003,0.011,0.005,0.005,0.005,0.004,0.006
396,0,0.004,0.01,0.003,0.018,0.004,0.003,0.011,0.005,0.005,0.005,0.004,0.006
397,0,0.004,0.01,0.003,0.018,0.004,0.003,0.01,0.005,0.005,0.005,0.004,0.006
398,0,0.004,0.01,0.003,0.018,0.004,0.003,0.01,0.005,0.005,0.005,0.004,0.006
399,0,0.004,0.01,0.003,0.017,0.004,0.003,0.01,0.005,0.005,0.005,0.004,0.006
400,0,0.004,0.01,0.003,0.017,0.004,0.003,0.01,0.005,0.005,0.005,0.004,0.005
401,0,0.003,0.009,0.003,0.017,0.003,0.003,0.01,0.005,0.005,0.004,0.004,0.005
402,0,0.004,0.009,0.003,0.017,0.003,0.003,0.01,0.005,0.005,0.005,0.004,0.005
403,0,0.003,0.009,0.003,0.017,0.003,0.003,0.01,0.004,0.005,0.005,0.004,0.005
404,0,0.003,0.009,0.003,0.017,0.003,0.003,0.009,0.005,0.005,0.005,0.004,0.005
405,0,0.003,0.009,0.003,0.016,0.003,0.003,0.009,0.004,0.004,0.004,0.004,0.005
406,0,0.003,0.009,0.003,0.016,0.003,0.003,0.009,0.004,0.004,0.004,0.004,0.005
407,0,0.003,0.009,0.003,0.016,0.003,0.003,0.009,0.004,0.004,0.004,0.004,0.005
408,0,0.003,0.009,0.003,0.016,0.003,0.003,0.009,0.004,0.004,0.004,0.004,0.005
409,0,0.003,0.009,0.003,0.016,0.003,0.002,0.009,0.004,0.004,0.004,0.003,0.005
410,0,0.003,0.009,0.003,0.016,0.003,0.002,0.009,0.004,0.004,0.004,0.004,0.005
411,0,0.003,0.008,0.003,0.016,0.003,0.003,0.009,0.004,0.004,0.004,0.003,0.005
412,0.001,0.003,0.008,0.003,0.016,0.003,0.003,0.009,0.004,0.004,0.004,0.004,0.005
413,0,0.003,0.008,0.003,0.016,0.003,0.002,0.008,0.004,0.004,0.004,0.003,0.005
414,0.001,0.003,0.008,0.003,0.015,0.003,0.002,0.008,0.004,0.004,0.004,0.003,0.005
415,0.001,0.003,0.008,0.003,0.015,0.003,0.002,0.008,0.004,0.004,0.004,0.003,0.005
416,0.001,0.003,0.008,0.003,0.015,0.003,0.002,0.008,0.004,0.004,0.004,0.003,0.005
417,0,0.003,0.008,0.003,0.015,0.003,0.002,0.008,0.004,0.004,0.004,0.003,0.005
418,0,0.003,0.008,0.003,0.015,0.003,0.002,0.008,0.004,0.004,0.004,0.003,0.005
419,0,0.003,0.008,0.002,0.015,0.003,0.002,0.008,0.004,0.004,0.004,0.003,0.004
420,0,0.003,0.008,0.002,0.015,0.003,0.002,0.008,0.004,0.004,0.004,0.003,0.004
421,0,0.003,0.008,0.002,0.014,0.003,0.002,0.008,0.004,0.004,0.004,0.003,0.004
422,0,0.003,0.008,0.002,0.014,0.003,0.002,0.008,0.003,0.004,0.004,0.003,0.004
423,0,0.003,0.007,0.002,0.014,0.003,0.002,0.007,0.003,0.004,0.004,0.003,0.004
424,0,0.003,0.007,0.002,0.014,0.003,0.002,0.007,0.003,0.004,0.004,0.003,0.004
425,0,0.002,0.007,0.002,0.014,0.002,0.002,0.007,0.003,0.004,0.004,0.003,0.004
426,0,0.003,0.007,0.002,0.014,0.003,0.002,0.007,0.003,0.004,0.004,0.003,0.004
427,0,0.003,0.007,0.002,0.014,0.003,0.002,0.007,0.003,0.004,0.004,0.003,0.004
428,0,0.003,0.007,0.002,0.014,0.002,0.002,0.007,0.003,0.003,0.004,0.003,0.004
429,0,0.002,0.007,0.002,0.014,0.002,0.002,0.007,0.003,0.004,0.003,0.003,0.004
430,0,0.002,0.007,0.002,0.013,0.002,0.002,0.007,0.003,0.003,0.004,0.003,0.004
431,0,0.002,0.007,0.002,0.013,0.002,0.002,0.007,0.003,0.003,0.004,0.003,0.004
432,0,0.003,0.007,0.002,0.013,0.002,0.002,0.007,0.003,0.003,0.004,0.003,0.004
